Freq,Gain,Phase
10.0,00009.31,-0012.00
10.2,00010.66,-0012.00
10.5,00010.85,-0012.00
10.7,00010.86,-0012.00
11.0,00010.89,-0012.00
11.2,00010.87,-0014.00
11.5,00010.87,-0014.00
11.7,00010.84,-0014.00
12.0,00010.87,-0014.00
12.3,00010.88,-0014.00
12.6,00010.84,-0014.00
12.9,00010.87,-0014.00
13.2,00010.84,-0016.00
13.5,00010.83,-0017.00
13.8,00010.86,-0017.00
14.1,00010.89,-0017.00
14.5,00010.89,-0017.00
14.8,00010.86,-0018.00
15.1,00010.89,-0019.00
15.5,00010.92,-0019.00
15.8,00010.87,-0019.00
16.2,00010.90,-0019.00
16.6,00010.90,-0020.00
17.0,00010.92,-0020.00
17.4,00010.90,-0021.00
17.8,00010.94,-0021.00
18.2,00010.91,-0022.00
18.6,00010.93,-0022.00
19.1,00010.80,-0023.00
19.5,00010.78,-0024.00
20.0,00010.78,-0024.00
20.4,00010.85,-0025.00
20.9,00010.81,-0025.00
21.4,00010.78,-0026.00
21.9,00010.80,-0026.00
22.4,00010.79,-0027.00
22.9,00010.86,-0027.00
23.4,00010.83,-0028.00
24.0,00010.89,-0027.00
24.5,00010.90,-0029.00
25.1,00010.96,-0030.00
25.7,00010.95,-0031.00
26.3,00011.01,-0031.00
26.9,00010.98,-0032.00
27.5,00011.05,-0032.00
28.2,00011.14,-0034.00
28.8,00011.16,-0033.00
29.5,00011.24,-0034.00
30.2,00011.33,-0036.00
30.9,00011.28,-0036.00
31.6,00011.39,-0036.00
32.4,00011.42,-0037.00
33.1,00011.45,-0038.00
33.9,00011.52,-0038.00
34.7,00011.60,-0038.00
35.5,00011.72,-0040.00
36.3,00011.89,-0041.00
37.2,00011.93,-0042.00
38.0,00012.01,-0043.00
38.9,00012.04,-0043.00
39.8,00012.14,-0043.00
40.7,00012.19,-0044.00
41.7,00012.36,-0045.00
42.7,00012.49,-0047.00
43.7,00012.73,-0047.00
44.7,00012.98,-0048.00
45.7,00013.10,-0050.00
46.8,00013.30,-0050.00
47.9,00013.60,-0051.00
49.0,00013.73,-0051.00
50.1,00014.41,-0054.00
51.3,00014.96,-0056.00
52.5,00015.36,-0058.00
53.7,00015.94,-0060.00
55.0,00016.41,-0062.00
56.2,00017.42,-0068.00
57.5,00018.11,-0070.00
58.9,00018.82,-0074.00
60.3,00020.14,-0084.00
61.7,00021.01,-0090.00
63.1,00022.33,-0105.00
64.6,00022.84,-0116.00
66.1,00022.97,-0138.00
67.6,00022.56,-0152.00
69.2,00021.02,-0170.00
70.8,00019.74,00178.00
72.4,00017.82,00170.00
74.1,00015.85,00160.00
75.9,00014.67,00156.00
77.6,00012.93,00153.00
79.4,00011.35,00149.00
81.3,00009.89,00147.00
83.2,00008.72,00145.00
85.1,00007.49,00145.00
87.1,00006.40,00142.00
89.1,00005.29,00140.00
91.2,00004.50,00140.00
93.3,00003.48,00139.00
95.5,00002.84,00138.00
97.7,00002.00,00136.00
100.0,00001.41,00136.00
102.3,00000.30,00137.00
104.7,00000.24,00136.00
107.2,-0001.21,00134.00
109.6,-0001.97,00135.00
112.2,-0002.70,00132.00
114.8,-0003.06,00131.00
117.5,-0004.16,00131.00
120.2,-0004.57,00129.00
123.0,-0005.21,00131.00
125.9,-0005.33,00131.00
128.8,-0006.36,00128.00
131.8,-0007.09,00129.00
134.9,-0007.84,00128.00
138.0,-0008.52,00131.00
141.3,-0008.87,00131.00
144.5,-0009.70,00128.00
147.9,-0010.11,00129.00
151.4,-0011.40,00128.00
154.9,-0010.92,00128.00
158.5,-0012.77,00127.00
162.2,-0010.58,00126.00
166.0,-0009.07,00099.00
169.8,-0002.92,-0058.00
173.8,-0002.41,-0110.00
177.8,00003.49,00122.00
182.0,-0001.21,00106.00
186.2,-0009.47,00116.00
190.5,-0012.33,00122.00
195.0,-0013.94,00120.00
199.5,-0015.42,00127.00
204.2,-0015.50,00128.00
208.9,-0018.54,00124.00
213.8,-0016.28,00127.00
218.8,-0018.61,00123.00
223.9,-0020.56,00128.00
229.1,-0018.33,00122.00
234.4,-0019.55,00128.00
239.9,-0021.91,00137.00
245.5,-0021.40,00123.00
251.2,-0021.59,00122.00
257.0,-0020.21,00140.00
263.0,-0021.48,00111.00
269.2,-0022.47,00133.00
275.4,-0021.80,00133.00
281.8,-0027.08,00105.00
288.4,-0022.42,00129.00
295.1,-0022.52,00125.00
302.0,-0023.74,00138.00
309.0,-0031.14,00135.00
316.2,-0026.23,00112.00
323.6,-0025.93,00101.00
331.1,-0022.37,00138.00
338.8,-0025.34,00126.00
346.7,-0027.54,00136.00
354.8,-0027.50,00145.00
363.1,-0025.83,00116.00
371.5,-0029.67,00109.00
380.2,-0029.67,00114.00
389.0,-0023.14,00112.00
398.1,-0029.16,00129.00
407.4,-0029.69,00113.00
416.9,-0031.00,00109.00
426.6,-0024.67,00135.00
436.5,-0028.09,-0112.00
446.7,-0026.23,-0129.00
457.1,-0027.72,-0126.00
467.7,-0032.19,-0105.00
478.6,-0027.76,00151.00
489.8,-0028.44,00125.00
501.2,-0032.33,00116.00
512.9,-0030.08,00089.00
524.8,-0029.81,00102.00
537.0,-0031.39,00104.00
549.5,-0027.36,00128.00
562.3,-0027.34,00124.00
575.4,-0027.18,00108.00
588.8,-0031.11,00137.00
602.6,-0030.54,00128.00
616.6,-0030.70,00100.00
631.0,-0031.56,00107.00
645.7,-0030.81,00122.00
660.7,-0026.11,00103.00
676.1,-0029.27,00127.00
691.8,-0029.34,00126.00
707.9,-0029.01,00098.00
724.4,-0030.38,00100.00
741.3,-0031.46,00108.00
758.6,-0029.44,00097.00
776.2,-0027.87,00116.00
794.3,-0030.95,00097.00
812.8,-0028.64,00110.00
831.8,-0030.20,00097.00
851.1,-0032.30,00119.00
871.0,-0029.66,00091.00
891.3,-0031.14,00102.00
912.0,-0031.67,00129.00
933.3,-0031.71,00126.00
955.0,-0028.04,00098.00
977.2,-0028.62,00069.00
1000.0,-0029.64,00090.00
1023.3,-0028.02,00095.00
1047.1,-0032.00,00114.00
1071.5,-0028.59,00102.00
1096.5,-0030.69,00075.00
1122.0,-0031.42,00060.00
1148.2,-0027.74,00067.00
1174.9,-0027.97,00087.00
1202.3,-0030.71,00073.00
1230.3,-0029.34,00101.00
1258.9,-0027.13,00075.00
1288.2,-0026.10,00057.00
1318.3,-0030.67,00075.00
1349.0,-0032.95,00104.00
1380.4,-0031.50,00079.00
1412.5,-0031.10,00093.00
1445.4,-0030.91,00078.00
1479.1,-0025.98,00093.00
1513.6,-0032.45,00066.00
1548.8,-0029.41,00087.00
1584.9,-0028.05,00061.00
1621.8,-0023.96,00054.00
1659.6,-0035.94,00080.00
1698.2,-0033.95,00081.00
1737.8,-0030.97,00082.00
1778.3,-0029.52,00061.00
1819.7,-0028.23,00048.00
1862.1,-0031.12,00072.00
1905.5,-0029.76,00083.00
1949.8,-0028.50,00064.00
1995.3,-0030.93,00083.00
2041.7,-0031.72,00065.00
2089.3,-0028.62,00041.00
2138.0,-0031.00,00069.00
2187.8,-0030.48,00073.00
2238.7,-0030.32,00059.00
2290.9,-0030.43,00068.00
2344.2,-0031.56,00067.00
2398.8,-0027.87,00084.00
2454.7,-0031.31,00057.00
2511.9,-0028.74,00075.00
2570.4,-0035.20,00098.00
2630.3,-0031.41,00105.00
2691.5,-0033.32,00082.00
2754.2,-0030.83,00108.00
2818.4,-0030.84,00091.00
2884.0,-0030.64,00073.00
2951.2,-0030.84,00072.00
3020.0,-0035.70,00081.00
3090.3,-0033.74,00108.00
3162.3,-0028.36,00096.00
3235.9,-0034.19,00079.00
3311.3,-0036.66,00100.00
3388.4,-0033.74,00093.00
3467.4,-0039.47,00094.00
3548.1,-0033.59,00123.00
3630.8,-0034.24,00121.00
3715.4,-0031.93,00108.00
3801.9,-0032.88,00087.00
3890.5,-0029.01,00092.00
3981.1,-0036.33,00076.00
4073.8,-0038.34,00095.00
4168.7,-0031.30,00100.00
4265.8,-0035.61,00114.00
4365.2,-0035.16,00089.00
4466.8,-0041.38,00072.00
4570.9,-0031.64,00087.00
4677.4,-0035.09,00073.00
4786.3,-0043.13,00096.00
4897.8,-0040.81,00108.00
5011.9,-0033.13,00095.00
5128.6,-0038.62,00091.00
5248.1,-0041.45,00074.00
5370.3,-0043.16,00096.00
5495.4,-0044.44,00089.00
5623.4,-0029.22,00095.00
5754.4,-0031.64,00097.00
5888.4,-0036.19,00085.00
6025.6,-0040.39,00071.00
6166.0,-0043.61,00059.00
6309.6,-0025.20,00083.00
6456.5,-0026.46,00089.00
6606.9,-0030.58,00075.00
6760.8,-0035.73,00090.00
6918.3,-0036.04,00089.00
7079.5,-0038.28,00112.00
7244.4,-0027.90,00094.00
7413.1,-0024.89,00083.00
7585.8,-0027.19,00100.00
7762.5,-0029.28,00074.00
7943.3,-0038.53,00082.00
8128.3,-0040.35,00080.00
8317.6,-0040.52,00074.00
8511.4,-0018.32,00096.00
8709.6,-0022.67,00088.00
8912.5,-0026.08,00083.00
9120.1,-0036.01,00080.00
9332.5,-0034.45,00093.00
9549.9,-0036.60,00098.00
9772.4,-0041.18,00094.00
10000.0,-0036.51,00086.00

