Freq,Gain,Phase
10.0,00009.37,-0012.00
10.2,00010.81,-0012.00
10.5,00010.96,-0012.00
10.7,00010.97,-0012.00
11.0,00010.98,-0012.00
11.2,00010.99,-0014.00
11.5,00010.97,-0012.00
11.7,00011.01,-0014.00
12.0,00011.01,-0014.00
12.3,00011.02,-0014.00
12.6,00010.97,-0014.00
12.9,00011.02,-0014.00
13.2,00010.99,-0016.00
13.5,00011.00,-0016.00
13.8,00011.00,-0017.00
14.1,00011.01,-0017.00
14.5,00011.02,-0017.00
14.8,00011.01,-0017.00
15.1,00011.03,-0019.00
15.5,00011.01,-0019.00
15.8,00011.01,-0019.00
16.2,00010.99,-0020.00
16.6,00011.00,-0021.00
17.0,00011.04,-0021.00
17.4,00011.01,-0021.00
17.8,00010.96,-0021.00
18.2,00010.95,-0022.00
18.6,00010.96,-0022.00
19.1,00010.97,-0023.00
19.5,00011.01,-0024.00
20.0,00010.99,-0023.00
20.4,00010.91,-0025.00
20.9,00010.95,-0026.00
21.4,00010.99,-0026.00
21.9,00010.96,-0026.00
22.4,00010.97,-0027.00
22.9,00010.94,-0027.00
23.4,00010.89,-0028.00
24.0,00010.92,-0028.00
24.5,00010.96,-0030.00
25.1,00010.88,-0030.00
25.7,00010.94,-0031.00
26.3,00010.92,-0031.00
26.9,00010.93,-0031.00
27.5,00011.01,-0032.00
28.2,00011.08,-0034.00
28.8,00011.08,-0033.00
29.5,00011.13,-0034.00
30.2,00011.25,-0034.00
30.9,00011.29,-0036.00
31.6,00011.34,-0036.00
32.4,00011.34,-0037.00
33.1,00011.48,-0038.00
33.9,00011.53,-0038.00
34.7,00011.54,-0039.00
35.5,00011.64,-0040.00
36.3,00011.78,-0041.00
37.2,00011.83,-0042.00
38.0,00011.94,-0042.00
38.9,00012.01,-0043.00
39.8,00012.01,-0044.00
40.7,00012.21,-0045.00
41.7,00012.26,-0045.00
42.7,00012.41,-0046.00
43.7,00012.60,-0047.00
44.7,00012.89,-0048.00
45.7,00013.18,-0050.00
46.8,00013.40,-0051.00
47.9,00013.68,-0051.00
49.0,00014.02,-0054.00
50.1,00014.65,-0055.00
51.3,00015.15,-0057.00
52.5,00015.54,-0058.00
53.7,00015.93,-0060.00
55.0,00016.33,-0062.00
56.2,00017.39,-0067.00
57.5,00018.03,-0071.00
58.9,00018.66,-0074.00
60.3,00019.79,-0083.00
61.7,00020.64,-0090.00
63.1,00019.98,-0093.00
64.6,00020.03,-0098.00
66.1,00020.73,-0109.00
67.6,00020.85,-0114.00
69.2,00021.14,-0128.00
70.8,00020.09,00156.00
72.4,00017.74,00166.00
74.1,00015.75,00161.00
75.9,00014.57,00158.00
77.6,00013.04,00154.00
79.4,00011.66,00150.00
81.3,00010.29,00147.00
83.2,00008.98,00146.00
85.1,00007.86,00144.00
87.1,00006.71,00143.00
89.1,00005.68,00141.00
91.2,00004.74,00140.00
93.3,00003.81,00139.00
95.5,00002.99,00138.00
97.7,00002.13,00138.00
100.0,00001.50,00137.00
102.3,00000.44,00136.00
104.7,00000.15,00135.00
107.2,-0001.25,00134.00
109.6,-0001.96,00134.00
112.2,-0002.58,00134.00
114.8,-0003.59,00133.00
117.5,-0003.97,00133.00
120.2,-0004.68,00132.00
123.0,-0005.49,00133.00
125.9,-0006.00,00134.00
128.8,-0006.54,00133.00
131.8,-0006.87,00131.00
134.9,-0007.99,00130.00
138.0,-0008.63,00130.00
141.3,-0009.59,00129.00
144.5,-0009.97,00129.00
147.9,-0011.37,00129.00
151.4,-0011.19,00130.00
154.9,-0011.48,00128.00
158.5,-0012.40,00122.00
162.2,-0011.27,00124.00
166.0,-0009.10,00097.00
169.8,-0002.87,-0058.00
173.8,-0003.07,-0109.00
177.8,00003.16,00123.00
182.0,-0001.77,00106.00
186.2,-0009.74,00108.00
190.5,-0012.62,00118.00
195.0,-0014.42,00125.00
199.5,-0015.63,00129.00
204.2,-0016.34,00127.00
208.9,-0017.03,00126.00
213.8,-0019.08,00127.00
218.8,-0017.86,00125.00
223.9,-0020.28,00136.00
229.1,-0021.35,00132.00
234.4,-0019.86,00117.00
239.9,-0022.70,00120.00
245.5,-0021.25,00122.00
251.2,-0021.32,00136.00
257.0,-0022.53,00138.00
263.0,-0022.88,00125.00
269.2,-0023.30,00119.00
275.4,-0024.16,00133.00
281.8,-0025.09,00128.00
288.4,-0024.60,00119.00
295.1,-0025.71,00114.00
302.0,-0022.98,00121.00
309.0,-0026.47,00132.00
316.2,-0025.53,00114.00
323.6,-0025.91,00136.00
331.1,-0026.69,00136.00
338.8,-0027.84,00125.00
346.7,-0026.13,00142.00
354.8,-0026.00,00137.00
363.1,-0027.36,00142.00
371.5,-0024.52,00127.00
380.2,-0026.09,00117.00
389.0,-0028.11,00117.00
398.1,-0028.61,00129.00
407.4,-0029.89,00136.00
416.9,-0027.76,00147.00
426.6,-0025.97,00131.00
436.5,-0031.87,00141.00
446.7,-0033.10,00112.00
457.1,-0028.39,00140.00
467.7,-0027.35,00141.00
478.6,-0030.90,00133.00
489.8,-0027.71,00115.00
501.2,-0029.62,00121.00
512.9,-0027.43,00108.00
524.8,-0030.29,00120.00
537.0,-0030.73,00127.00
549.5,-0031.06,00131.00
562.3,-0029.29,00132.00
575.4,-0030.20,00122.00
588.8,-0029.25,00106.00
602.6,-0031.73,00108.00
616.6,-0027.14,00120.00
631.0,-0029.96,00091.00
645.7,-0031.96,00120.00
660.7,-0034.73,00112.00
676.1,-0029.39,00119.00
691.8,-0031.69,00109.00
707.9,-0030.58,00128.00
724.4,-0034.07,00099.00
741.3,-0034.95,00122.00
758.6,-0029.05,00115.00
776.2,-0030.83,00134.00
794.3,-0033.71,00098.00
812.8,-0032.72,00093.00
831.8,-0031.46,00115.00
851.1,-0029.82,00113.00
871.0,-0032.43,00111.00
891.3,-0030.02,00089.00
912.0,-0032.99,00086.00
933.3,-0033.12,00083.00
955.0,-0031.18,00068.00
977.2,-0031.65,00089.00
1000.0,-0033.80,00096.00
1023.3,-0033.63,00092.00
1047.1,-0034.04,00091.00
1071.5,-0034.13,00065.00
1096.5,-0032.72,00085.00
1122.0,-0030.53,00070.00
1148.2,-0033.63,00096.00
1174.9,-0033.10,00096.00
1202.3,-0028.68,00075.00
1230.3,-0030.42,00057.00
1258.9,-0037.92,00082.00
1288.2,-0035.83,00092.00
1318.3,-0032.78,00071.00
1349.0,-0033.89,00045.00
1380.4,-0034.20,00071.00
1412.5,-0030.22,00074.00
1445.4,-0037.03,00074.00
1479.1,-0036.07,00068.00
1513.6,-0032.19,00066.00
1548.8,-0042.07,00043.00
1584.9,-0031.44,00058.00
1621.8,-0032.92,00087.00
1659.6,-0031.95,00059.00
1698.2,-0031.44,00030.00
1737.8,-0034.71,00054.00
1778.3,-0034.27,00064.00
1819.7,-0033.95,00040.00
1862.1,-0032.39,00037.00
1905.5,-0033.45,00061.00
1949.8,-0030.21,00058.00
1995.3,-0033.92,00075.00
2041.7,-0033.52,00054.00
2089.3,-0036.79,00083.00
2138.0,-0031.48,00075.00
2187.8,-0037.59,00060.00
2238.7,-0034.10,00075.00
2290.9,-0034.23,00047.00
2344.2,-0033.13,00075.00
2398.8,-0032.30,00057.00
2454.7,-0033.51,00071.00
2511.9,-0030.83,00075.00
2570.4,-0037.20,00076.00
2630.3,-0032.66,00050.00
2691.5,-0032.24,00067.00
2754.2,-0034.45,00089.00
2818.4,-0032.26,00078.00
2884.0,-0032.84,00069.00
2951.2,-0030.72,00085.00
3020.0,-0032.82,00099.00
3090.3,-0037.99,00079.00
3162.3,-0037.53,00072.00
3235.9,-0031.30,00086.00
3311.3,-0037.87,00078.00
3388.4,-0034.73,00103.00
3467.4,-0034.95,00097.00
3548.1,-0037.90,00122.00
3630.8,-0038.59,00112.00
3715.4,-0036.19,00107.00
3801.9,-0038.54,00109.00
3890.5,-0039.24,00090.00
3981.1,-0039.71,00112.00
4073.8,-0036.15,00130.00
4168.7,-0034.37,00092.00
4265.8,-0036.99,00099.00
4365.2,-0036.60,00121.00
4466.8,-0043.61,00105.00
4570.9,-0040.37,00099.00
4677.4,-0047.51,00083.00
4786.3,-0045.17,00101.00
4897.8,-0047.73,00118.00
5011.9,-0041.87,00093.00
5128.6,-0039.66,00078.00
5248.1,-0043.57,00104.00
5370.3,-0044.39,00080.00
5495.4,-0050.89,00100.00
5623.4,-0037.20,00086.00
5754.4,-0035.70,00103.00
5888.4,-0041.94,00095.00
6025.6,-0044.89,00087.00
6166.0,-0049.13,00076.00
6309.6,-0027.20,00079.00
6456.5,-0028.81,00091.00
6606.9,-0036.82,00077.00
6760.8,-0037.74,00095.00
6918.3,-0042.43,00074.00
7079.5,-0043.78,00099.00
7244.4,-0022.14,00085.00
7413.1,-0023.50,00101.00
7585.8,-0032.75,00102.00
7762.5,-0030.92,00081.00
7943.3,-0040.20,00098.00
8128.3,-0043.80,00076.00
8317.6,-0046.72,00078.00
8511.4,-0032.85,00079.00
8709.6,-0028.03,00089.00
8912.5,-0026.74,00078.00
9120.1,-0038.41,00084.00
9332.5,-0041.28,00088.00
9549.9,-0040.12,00097.00
9772.4,-0046.55,00081.00
10000.0,-0046.58,00096.00

