Freq,Gain,Phase
10.0,-0013.58,-0016.00
10.2,-0011.95,-0014.00
10.5,-0011.84,-0014.00
10.7,-0011.83,-0014.00
11.0,-0011.81,-0014.00
11.2,-0011.94,-0014.00
11.5,-0011.98,-0014.00
11.7,-0012.06,-0016.00
12.0,-0012.23,-0016.00
12.3,-0012.22,-0017.00
12.6,-0012.18,-0017.00
12.9,-0012.20,-0017.00
13.2,-0012.26,-0017.00
13.5,-0012.30,-0017.00
13.8,-0012.35,-0017.00
14.1,-0012.33,-0018.00
14.5,-0012.50,-0018.00
14.8,-0012.42,-0019.00
15.1,-0012.46,-0020.00
15.5,-0012.45,-0020.00
15.8,-0012.54,-0019.00
16.2,-0012.64,-0021.00
16.6,-0012.57,-0022.00
17.0,-0012.54,-0021.00
17.4,-0012.66,-0022.00
17.8,-0012.83,-0022.00
18.2,-0012.80,-0023.00
18.6,-0012.75,-0023.00
19.1,-0012.97,-0024.00
19.5,-0013.04,-0024.00
20.0,-0013.07,-0024.00
20.4,-0013.01,-0025.00
20.9,-0013.11,-0024.00
21.4,-0013.22,-0024.00
21.9,-0013.12,-0024.00
22.4,-0013.17,-0026.00
22.9,-0013.22,-0026.00
23.4,-0013.28,-0027.00
24.0,-0013.26,-0026.00
24.5,-0013.33,-0028.00
25.1,-0013.34,-0028.00
25.7,-0013.53,-0030.00
26.3,-0013.43,-0029.00
26.9,-0013.60,-0030.00
27.5,-0013.60,-0032.00
28.2,-0013.59,-0032.00
28.8,-0013.55,-0032.00
29.5,-0013.58,-0033.00
30.2,-0013.71,-0032.00
30.9,-0013.71,-0032.00
31.6,-0014.00,-0034.00
32.4,-0014.10,-0031.00
33.1,-0014.27,-0034.00
33.9,-0014.32,-0034.00
34.7,-0014.52,-0034.00
35.5,-0014.39,-0035.00
36.3,-0014.48,-0036.00
37.2,-0014.42,-0037.00
38.0,-0014.39,-0037.00
38.9,-0014.29,-0037.00
39.8,-0014.58,-0038.00
40.7,-0014.57,-0039.00
41.7,-0014.65,-0040.00
42.7,-0014.98,-0039.00
43.7,-0014.81,-0039.00
44.7,-0014.84,-0041.00
45.7,-0014.92,-0041.00
46.8,-0015.25,-0041.00
47.9,-0015.29,-0041.00
49.0,-0015.26,-0042.00
50.1,-0015.64,-0041.00
51.3,-0015.44,-0041.00
52.5,-0015.46,-0043.00
53.7,-0015.78,-0044.00
55.0,-0015.87,-0043.00
56.2,-0016.10,-0046.00
57.5,-0015.88,-0046.00
58.9,-0015.84,-0044.00
60.3,-0015.72,-0043.00
61.7,-0015.84,-0046.00
63.1,-0016.27,-0045.00
64.6,-0016.20,-0048.00
66.1,-0016.27,-0047.00
67.6,-0016.12,-0045.00
69.2,-0016.24,-0049.00
70.8,-0016.36,-0047.00
72.4,-0016.46,-0047.00
74.1,-0016.72,-0049.00
75.9,-0016.58,-0045.00
77.6,-0016.61,-0050.00
79.4,-0017.02,-0047.00
81.3,-0016.98,-0047.00
83.2,-0016.58,-0050.00
85.1,-0016.83,-0050.00
87.1,-0016.77,-0052.00
89.1,-0016.73,-0053.00
91.2,-0016.60,-0051.00
93.3,-0016.57,-0050.00
95.5,-0016.52,-0051.00
97.7,-0016.40,-0054.00
100.0,-0016.30,-0054.00
102.3,-0016.36,-0053.00
104.7,-0016.30,-0052.00
107.2,-0016.49,-0053.00
109.6,-0016.21,-0054.00
112.2,-0016.62,-0053.00
114.8,-0015.81,-0053.00
117.5,-0016.31,-0054.00
120.2,-0016.33,-0054.00
123.0,-0016.09,-0054.00
125.9,-0016.30,-0056.00
128.8,-0015.45,-0057.00
131.8,-0015.63,-0057.00
134.9,-0015.61,-0057.00
138.0,-0014.96,-0057.00
141.3,-0014.71,-0060.00
144.5,-0014.14,-0059.00
147.9,-0014.02,-0061.00
151.4,-0013.60,-0059.00
154.9,-0012.93,-0063.00
158.5,-0012.27,-0063.00
162.2,-0011.44,-0066.00
166.0,-0010.49,-0068.00
169.8,-0009.52,-0072.00
173.8,-0008.33,-0078.00
177.8,-0006.24,-0089.00
182.0,-0004.31,-0106.00
186.2,-0002.55,-0143.00
190.5,-0003.26,-0161.00
195.0,-0004.56,-0174.00
199.5,-0006.09,00178.00
204.2,-0007.76,00172.00
208.9,-0008.77,00168.00
213.8,-0009.98,00162.00
218.8,-0011.27,00155.00
223.9,-0012.38,00152.00
229.1,-0013.79,00151.00
234.4,-0014.82,00150.00
239.9,-0016.04,00146.00
245.5,-0016.26,00145.00
251.2,-0017.40,00147.00
257.0,-0018.38,00143.00
263.0,-0019.20,00144.00
269.2,-0019.94,00141.00
275.4,-0020.12,00137.00
281.8,-0021.20,00138.00
288.4,-0022.18,00140.00
295.1,-0022.39,00137.00
302.0,-0022.80,00136.00
309.0,-0024.68,00135.00
316.2,-0024.37,00141.00
323.6,-0025.98,00130.00
