Freq,Gain,Phase
10.0,00010.85,-0017.00
10.2,00010.87,-0014.00
10.5,00010.86,-0012.00
10.7,00010.87,-0012.00
11.0,00010.87,-0012.00
11.2,00010.87,-0014.00
11.5,00010.89,-0014.00
11.7,00010.87,-0014.00
12.0,00010.88,-0014.00
12.3,00010.87,-0014.00
12.6,00010.88,-0014.00
12.9,00010.89,-0014.00
13.2,00010.84,-0017.00
13.5,00010.88,-0017.00
13.8,00010.86,-0017.00
14.1,00010.85,-0017.00
14.5,00010.87,-0018.00
14.8,00010.84,-0018.00
15.1,00010.87,-0018.00
15.5,00010.91,-0019.00
15.8,00010.87,-0019.00
16.2,00010.89,-0019.00
16.6,00010.93,-0020.00
17.0,00010.90,-0020.00
17.4,00010.90,-0021.00
17.8,00010.87,-0022.00
18.2,00010.92,-0022.00
18.6,00010.89,-0022.00
19.1,00010.86,-0024.00
19.5,00010.83,-0024.00
20.0,00010.81,-0024.00
20.4,00010.77,-0025.00
20.9,00010.81,-0026.00
21.4,00010.79,-0026.00
21.9,00010.84,-0026.00
22.4,00010.82,-0026.00
22.9,00010.84,-0027.00
23.4,00010.93,-0028.00
24.0,00010.83,-0028.00
24.5,00010.90,-0029.00
25.1,00010.98,-0030.00
25.7,00010.95,-0030.00
26.3,00010.98,-0031.00
26.9,00011.05,-0031.00
27.5,00011.04,-0032.00
28.2,00011.13,-0033.00
28.8,00011.12,-0034.00
29.5,00011.23,-0034.00
30.2,00011.32,-0036.00
30.9,00011.28,-0036.00
31.6,00011.37,-0036.00
32.4,00011.43,-0037.00
33.1,00011.46,-0038.00
33.9,00011.57,-0038.00
34.7,00011.59,-0039.00
35.5,00011.77,-0040.00
36.3,00011.80,-0041.00
37.2,00011.89,-0041.00
38.0,00012.09,-0044.00
38.9,00012.01,-0043.00
39.8,00012.15,-0043.00
40.7,00012.20,-0044.00
41.7,00012.37,-0045.00
42.7,00012.49,-0046.00
43.7,00012.78,-0048.00
44.7,00012.98,-0048.00
45.7,00013.07,-0049.00
46.8,00013.28,-0050.00
47.9,00013.59,-0051.00
49.0,00013.84,-0052.00
50.1,00014.43,-0055.00
51.3,00014.97,-0057.00
52.5,00015.43,-0058.00
53.7,00015.86,-0059.00
55.0,00016.40,-0062.00
56.2,00017.41,-0067.00
57.5,00018.15,-0070.00
58.9,00018.81,-0074.00
60.3,00020.20,-0083.00
61.7,00021.01,-0089.00
63.1,00022.32,-0105.00
64.6,00022.28,-0117.00
66.1,00022.94,-0138.00
67.6,00022.50,-0152.00
69.2,00021.02,-0170.00
70.8,00019.74,00178.00
72.4,00017.85,00170.00
74.1,00015.86,00161.00
75.9,00014.62,00157.00
77.6,00012.97,00153.00
79.4,00011.35,00149.00
81.3,00009.94,00146.00
83.2,00008.54,00145.00
85.1,00007.30,00144.00
87.1,00006.45,00142.00
89.1,00005.40,00141.00
91.2,00004.49,00140.00
93.3,00003.57,00138.00
95.5,00002.92,00138.00
97.7,00001.99,00139.00
100.0,00001.22,00138.00
102.3,00000.17,00138.00
104.7,00000.35,00136.00
107.2,-0001.35,00135.00
109.6,-0002.05,00135.00
112.2,-0002.49,00134.00
114.8,-0003.00,00133.00
117.5,-0003.97,00132.00
120.2,-0005.05,00133.00
123.0,-0005.07,00133.00
125.9,-0006.31,00128.00
128.8,-0006.14,00128.00
