Freq,Gain,Phase
10.0,00009.36,-0012.00
10.2,00010.75,-0010.00
10.5,00010.93,-0010.00
10.7,00010.99,-0010.00
11.0,00010.97,-0010.00
11.2,00010.98,-0014.00
11.5,00011.02,-0014.00
11.7,00010.97,-0014.00
12.0,00011.00,-0014.00
12.3,00010.99,-0016.00
12.6,00011.00,-0016.00
12.9,00010.99,-0016.00
13.2,00011.04,-0017.00
13.5,00010.99,-0017.00
13.8,00010.99,-0017.00
14.1,00011.03,-0017.00
14.5,00011.02,-0017.00
14.8,00011.05,-0018.00
15.1,00011.01,-0019.00
15.5,00011.02,-0019.00
15.8,00011.00,-0019.00
16.2,00011.04,-0019.00
16.6,00011.02,-0020.00
17.0,00011.02,-0019.00
17.4,00011.01,-0021.00
17.8,00010.98,-0022.00
18.2,00010.92,-0023.00
18.6,00010.94,-0023.00
19.1,00010.87,-0024.00
19.5,00010.82,-0024.00
20.0,00010.83,-0024.00
20.4,00010.85,-0025.00
20.9,00010.78,-0025.00
21.4,00010.84,-0026.00
21.9,00010.85,-0026.00
22.4,00010.86,-0027.00
22.9,00010.86,-0027.00
23.4,00010.91,-0028.00
24.0,00010.87,-0028.00
24.5,00010.88,-0029.00
25.1,00011.05,-0030.00
25.7,00010.97,-0031.00
26.3,00011.09,-0031.00
26.9,00011.13,-0031.00
27.5,00011.23,-0032.00
28.2,00011.26,-0034.00
28.8,00011.30,-0034.00
29.5,00011.34,-0034.00
30.2,00011.48,-0036.00
30.9,00011.45,-0036.00
31.6,00011.54,-0037.00
32.4,00011.61,-0037.00
33.1,00011.74,-0039.00
33.9,00011.75,-0039.00
34.7,00011.81,-0038.00
35.5,00011.87,-0040.00
36.3,00011.94,-0041.00
37.2,00012.07,-0042.00
38.0,00012.32,-0043.00
38.9,00012.28,-0043.00
39.8,00012.42,-0043.00
40.7,00012.57,-0045.00
41.7,00012.73,-0045.00
42.7,00012.84,-0046.00
43.7,00012.99,-0047.00
44.7,00013.09,-0048.00
45.7,00013.40,-0050.00
46.8,00013.46,-0052.00
47.9,00013.62,-0051.00
49.0,00013.98,-0053.00
50.1,00014.67,-0056.00
51.3,00015.01,-0057.00
52.5,00015.31,-0058.00
53.7,00015.72,-0060.00
55.0,00016.19,-0062.00
56.2,00017.11,-0066.00
57.5,00017.86,-0069.00
58.9,00018.52,-0073.00
60.3,00019.93,-0082.00
61.7,00020.92,-0087.00
63.1,00022.32,-0103.00
64.6,00023.09,-0117.00
66.1,00023.14,-0139.00
67.6,00022.71,-0155.00
69.2,00021.21,-0170.00
70.8,00019.97,00178.00
72.4,00018.03,00166.00
74.1,00015.96,00159.00
75.9,00014.77,00156.00
77.6,00013.31,00151.00
79.4,00011.95,00148.00
81.3,00010.50,00146.00
83.2,00009.38,00144.00
85.1,00008.16,00144.00
87.1,00007.05,00142.00
89.1,00006.11,00141.00
91.2,00005.34,00139.00
93.3,00004.31,00140.00
95.5,00003.79,00138.00
97.7,00002.86,00138.00
100.0,00002.22,00137.00
102.3,00000.96,00135.00
104.7,00000.43,00134.00
107.2,00000.13,00133.00
109.6,-0001.33,00134.00
112.2,-0002.59,00133.00
114.8,-0003.48,00132.00
117.5,-0004.01,00133.00
120.2,-0004.48,00130.00
123.0,-0005.44,00128.00
125.9,-0006.24,00127.00
128.8,-0007.05,00128.00
131.8,-0007.32,00131.00
134.9,-0008.40,00131.00
138.0,-0009.01,00129.00
141.3,-0010.26,00127.00
144.5,-0010.33,00125.00
147.9,-0010.17,00128.00
151.4,-0011.85,00128.00
154.9,-0012.04,00130.00
158.5,-0012.64,00128.00
162.2,-0011.31,00125.00
166.0,-0010.36,00104.00
169.8,-0003.69,-0057.00
173.8,-0004.17,-0112.00
177.8,00002.56,00121.00
182.0,-0002.30,00106.00
186.2,-0010.72,00103.00
190.5,-0013.25,00120.00
195.0,-0015.11,00116.00
199.5,-0014.25,00111.00
204.2,-0015.69,00116.00
208.9,-0016.24,00114.00
213.8,-0019.93,00119.00
218.8,-0019.55,00130.00
223.9,-0019.34,00133.00
229.1,-0017.04,00116.00
234.4,-0019.75,00119.00
239.9,-0020.28,00132.00
245.5,-0020.13,00142.00
251.2,-0020.41,00114.00
257.0,-0024.29,00129.00
263.0,-0023.82,00127.00
269.2,-0023.90,00100.00
275.4,-0022.88,00129.00
281.8,-0024.24,00100.00
288.4,-0025.13,00129.00
295.1,-0024.92,00125.00
302.0,-0022.98,00101.00
309.0,-0023.69,00123.00
316.2,-0022.20,00113.00
323.6,-0022.33,00137.00
331.1,-0027.19,00126.00
338.8,-0028.36,00097.00
346.7,-0029.15,00122.00
354.8,-0026.24,00127.00
363.1,-0024.65,00113.00
371.5,-0027.50,00104.00
380.2,-0025.82,00124.00
389.0,-0026.26,00096.00
398.1,-0025.51,00093.00
407.4,-0023.57,00113.00
416.9,-0027.91,00112.00
426.6,-0028.98,00105.00
436.5,-0028.86,00132.00
446.7,-0025.74,00105.00
457.1,-0025.34,00121.00
467.7,-0023.69,00141.00
478.6,-0023.15,00134.00
489.8,-0030.11,00107.00
501.2,-0027.05,00100.00
512.9,-0028.82,00123.00
524.8,-0028.46,00129.00
537.0,-0026.27,00126.00
549.5,-0027.30,00099.00
562.3,-0029.20,00107.00
575.4,-0029.34,00136.00
588.8,-0026.74,00109.00
602.6,-0028.44,00096.00
616.6,-0029.67,00122.00
631.0,-0032.35,00111.00
645.7,-0024.31,00105.00
660.7,-0029.09,00130.00
676.1,-0026.86,00102.00
691.8,-0030.72,00078.00
707.9,-0028.44,00104.00
724.4,-0028.93,00105.00
741.3,-0026.95,00112.00
758.6,-0028.59,00088.00
776.2,-0027.95,00080.00
794.3,-0028.76,00092.00
812.8,-0031.95,00116.00
831.8,-0030.97,00090.00
851.1,-0026.46,00110.00
871.0,-0027.55,00083.00
891.3,-0031.09,00091.00
912.0,-0027.25,00066.00
933.3,-0026.64,00074.00
955.0,-0029.76,00096.00
977.2,-0028.11,00072.00
1000.0,-0027.75,00101.00
1023.3,-0023.46,00110.00
1047.1,-0026.84,00086.00
1071.5,-0022.85,00073.00
1096.5,-0029.35,00102.00
1122.0,-0026.48,00111.00
1148.2,-0026.41,00086.00
1174.9,-0028.12,00099.00
1202.3,-0025.58,00077.00
1230.3,-0027.54,00084.00
1258.9,-0025.84,00060.00
1288.2,-0025.90,00062.00
1318.3,-0028.31,00080.00
1349.0,-0026.89,00082.00
1380.4,-0028.35,00067.00
1412.5,-0027.39,00086.00
1445.4,-0028.77,00112.00
1479.1,-0030.17,00084.00
1513.6,-0029.60,00063.00
1548.8,-0028.58,00047.00
1584.9,-0029.82,00071.00
1621.8,-0027.22,00077.00
1659.6,-0026.56,00081.00
1698.2,-0026.28,00062.00
1737.8,-0027.46,00059.00
1778.3,-0030.56,00087.00
1819.7,-0029.84,00083.00
1862.1,-0027.39,00092.00
1905.5,-0028.05,00120.00
1949.8,-0028.73,00091.00
1995.3,-0028.75,00100.00
2041.7,-0029.65,00098.00
2089.3,-0029.88,00071.00
2138.0,-0026.03,00047.00
2187.8,-0024.66,00042.00
2238.7,-0025.60,00041.00
2290.9,-0028.79,00049.00
2344.2,-0028.13,-0071.00
2398.8,-0025.97,-0085.00
2454.7,-0027.44,-0089.00
2511.9,-0029.88,-0108.00
2570.4,-0026.46,-0083.00
2630.3,-0028.99,-0074.00
2691.5,-0032.90,-0067.00
2754.2,-0029.33,-0079.00
2818.4,-0029.50,-0059.00
2884.0,-0033.10,-0075.00
2951.2,-0031.14,-0053.00
3020.0,-0032.56,-0064.00
3090.3,-0033.91,-0077.00
3162.3,-0027.43,-0078.00
3235.9,-0031.87,-0093.00
3311.3,-0030.32,-0120.00
3388.4,-0030.58,-0120.00
3467.4,-0034.03,-0092.00
3548.1,-0035.02,-0083.00
3630.8,-0028.60,-0081.00
3715.4,-0034.90,-0087.00
3801.9,-0030.11,-0111.00
3890.5,-0032.30,-0110.00
3981.1,-0032.06,-0090.00
4073.8,-0034.63,-0077.00
4168.7,-0031.14,-0077.00
4265.8,-0030.85,-0083.00
4365.2,-0033.48,-0100.00
4466.8,-0034.21,-0095.00
4570.9,-0030.76,-0109.00
4677.4,-0038.19,-0091.00
4786.3,-0041.42,-0077.00
4897.8,-0041.49,-0104.00
5011.9,-0038.48,-0089.00
5128.6,-0033.33,-0093.00
5248.1,-0041.09,-0093.00
5370.3,-0044.96,-0096.00
5495.4,-0048.09,-0078.00
5623.4,-0027.48,-0099.00
5754.4,-0027.98,-0086.00
5888.4,-0035.90,-0109.00
6025.6,-0036.43,-0100.00
6166.0,-0040.27,-0127.00
6309.6,-0025.43,-0108.00
6456.5,-0025.96,-0097.00
6606.9,-0029.18,-0089.00
6760.8,-0032.73,-0099.00
6918.3,-0033.79,-0091.00
7079.5,-0038.33,-0108.00
7244.4,-0020.68,-0103.00
7413.1,-0027.05,-0089.00
7585.8,-0028.83,-0094.00
7762.5,-0029.69,-0109.00
7943.3,-0034.53,-0137.00
8128.3,-0031.52,00089.00
8317.6,-0039.08,00094.00
8511.4,-0020.74,00088.00
8709.6,-0023.05,00084.00
8912.5,-0024.04,00088.00
9120.1,-0030.55,00110.00
9332.5,-0041.76,00101.00
9549.9,-0039.42,00108.00
9772.4,-0037.59,00091.00
10000.0,-0039.29,00104.00

