Freq,Gain,Phase
10.0,00009.31,-0012.00
10.2,00010.67,-0012.00
10.5,00010.87,-0012.00
10.7,00010.91,-0012.00
11.0,00010.90,-0012.00
11.2,00010.91,-0014.00
11.5,00010.88,-0014.00
11.7,00010.93,-0014.00
12.0,00010.91,-0014.00
12.3,00010.87,-0016.00
12.6,00010.89,-0016.00
12.9,00010.88,-0014.00
13.2,00010.91,-0016.00
13.5,00010.87,-0016.00
13.8,00010.89,-0017.00
14.1,00010.91,-0017.00
14.5,00010.92,-0017.00
14.8,00010.91,-0017.00
15.1,00010.92,-0019.00
15.5,00010.92,-0019.00
15.8,00010.95,-0019.00
16.2,00010.88,-0020.00
16.6,00010.89,-0021.00
17.0,00010.91,-0021.00
17.4,00010.87,-0021.00
17.8,00010.91,-0022.00
18.2,00010.90,-0022.00
18.6,00010.97,-0023.00
19.1,00010.88,-0023.00
19.5,00010.85,-0024.00
20.0,00010.83,-0024.00
20.4,00010.85,-0024.00
20.9,00010.89,-0024.00
21.4,00010.89,-0026.00
21.9,00010.87,-0026.00
22.4,00010.89,-0027.00
22.9,00010.93,-0027.00
23.4,00010.87,-0028.00
24.0,00010.95,-0028.00
24.5,00010.99,-0028.00
25.1,00011.00,-0030.00
25.7,00011.05,-0031.00
26.3,00011.13,-0031.00
26.9,00011.06,-0031.00
27.5,00011.13,-0032.00
28.2,00011.24,-0033.00
28.8,00011.27,-0034.00
29.5,00011.29,-0034.00
30.2,00011.35,-0036.00
30.9,00011.37,-0036.00
31.6,00011.46,-0037.00
32.4,00011.47,-0037.00
33.1,00011.60,-0038.00
33.9,00011.55,-0038.00
34.7,00011.71,-0039.00
35.5,00011.81,-0040.00
36.3,00011.88,-0041.00
37.2,00012.00,-0042.00
38.0,00012.07,-0042.00
38.9,00012.09,-0042.00
39.8,00012.18,-0043.00
40.7,00012.26,-0043.00
41.7,00012.38,-0045.00
42.7,00012.55,-0046.00
43.7,00012.71,-0047.00
44.7,00013.01,-0048.00
45.7,00013.11,-0049.00
46.8,00013.23,-0050.00
47.9,00013.45,-0051.00
49.0,00013.80,-0052.00
50.1,00014.42,-0055.00
51.3,00014.96,-0057.00
52.5,00015.34,-0058.00
53.7,00015.87,-0059.00
55.0,00016.38,-0062.00
56.2,00017.40,-0068.00
57.5,00018.17,-0070.00
58.9,00018.79,-0074.00
60.3,00020.18,-0083.00
61.7,00021.04,-0090.00
63.1,00021.58,-0105.00
64.6,00022.86,-0117.00
66.1,00022.97,-0138.00
67.6,00022.55,-0152.00
69.2,00021.00,-0170.00
70.8,00019.71,00178.00
72.4,00017.83,00170.00
74.1,00015.81,00161.00
75.9,00014.58,00157.00
77.6,00013.00,00152.00
79.4,00011.47,00149.00
81.3,00010.02,00147.00
83.2,00008.77,00145.00
85.1,00007.52,00143.00
87.1,00006.61,00141.00
89.1,00005.53,00141.00
91.2,00004.66,00140.00
93.3,00003.71,00140.00
95.5,00002.99,00138.00
97.7,00002.25,00137.00
100.0,00001.70,00137.00
102.3,00000.45,00137.00
104.7,00000.06,00136.00
107.2,00000.90,00133.00
109.6,-0001.61,00135.00
112.2,-0002.28,00134.00
114.8,-0002.91,00135.00
117.5,-0003.86,00130.00
120.2,-0004.75,00132.00
123.0,-0004.95,00131.00
125.9,-0005.32,00128.00
128.8,-0006.37,00135.00
131.8,-0007.18,00129.00
134.9,-0007.35,00131.00
138.0,-0008.13,00126.00
