Freq,Gain,Phase
10.0,00008.66,-0012.00
10.2,00010.06,-0012.00
10.5,00010.27,-0012.00
10.7,00010.29,-0012.00
11.0,00010.29,-0012.00
11.2,00010.30,-0014.00
11.5,00010.29,-0014.00
11.7,00010.29,-0014.00
12.0,00010.28,-0016.00
12.3,00010.32,-0016.00
12.6,00010.33,-0016.00
12.9,00010.30,-0016.00
13.2,00010.26,-0016.00
13.5,00010.29,-0017.00
13.8,00010.35,-0017.00
14.1,00010.32,-0017.00
14.5,00010.32,-0018.00
14.8,00010.34,-0018.00
15.1,00010.38,-0019.00
15.5,00010.44,-0019.00
15.8,00010.39,-0019.00
16.2,00010.41,-0019.00
16.6,00010.43,-0020.00
17.0,00010.45,-0020.00
17.4,00010.52,-0021.00
17.8,00010.57,-0021.00
18.2,00010.59,-0022.00
18.6,00010.50,-0021.00
19.1,00010.59,-0022.00
19.5,00010.57,-0023.00
20.0,00010.59,-0022.00
20.4,00010.64,-0024.00
20.9,00010.63,-0024.00
21.4,00010.72,-0026.00
21.9,00010.74,-0026.00
22.4,00010.76,-0026.00
22.9,00010.81,-0026.00
23.4,00010.83,-0027.00
24.0,00010.88,-0027.00
24.5,00010.90,-0028.00
25.1,00010.95,-0030.00
25.7,00010.98,-0030.00
26.3,00011.09,-0032.00
26.9,00011.13,-0032.00
27.5,00011.15,-0032.00
28.2,00011.21,-0034.00
28.8,00011.18,-0034.00
29.5,00011.22,-0034.00
30.2,00011.28,-0036.00
30.9,00011.34,-0036.00
31.6,00011.33,-0037.00
32.4,00011.42,-0037.00
33.1,00011.49,-0038.00
33.9,00011.49,-0037.00
34.7,00011.56,-0038.00
35.5,00011.59,-0039.00
36.3,00011.73,-0040.00
37.2,00011.85,-0041.00
38.0,00012.02,-0042.00
38.9,00011.96,-0042.00
39.8,00012.13,-0043.00
40.7,00012.29,-0044.00
41.7,00012.50,-0044.00
42.7,00012.69,-0046.00
43.7,00012.78,-0047.00
44.7,00012.76,-0047.00
45.7,00012.97,-0049.00
46.8,00013.12,-0051.00
47.9,00013.31,-0051.00
49.0,00013.65,-0052.00
50.1,00014.29,-0055.00
51.3,00014.71,-0057.00
52.5,00015.08,-0059.00
53.7,00015.25,-0059.00
55.0,00015.73,-0062.00
56.2,00016.75,-0065.00
57.5,00017.51,-0069.00
58.9,00018.41,-0073.00
60.3,00019.75,-0082.00
61.7,00020.73,-0088.00
63.1,00021.95,-0104.00
64.6,00022.54,-0116.00
66.1,00022.41,-0138.00
67.6,00021.79,-0155.00
69.2,00020.09,-0170.00
70.8,00018.65,00178.00
72.4,00016.64,00170.00
74.1,00014.56,00161.00
75.9,00013.39,00158.00
77.6,00011.92,00154.00
79.4,00010.51,00151.00
81.3,00009.16,00148.00
83.2,00008.07,00145.00
85.1,00007.03,00144.00
87.1,00005.93,00143.00
89.1,00005.14,00141.00
91.2,00004.34,00140.00
93.3,00003.45,00139.00
95.5,00002.82,00136.00
97.7,00002.03,00136.00
100.0,00001.30,00137.00
102.3,00000.46,00132.00
104.7,00000.08,00131.00
107.2,-0001.42,00132.00
109.6,-0001.76,00130.00
112.2,-0001.76,00134.00
114.8,-0003.12,00135.00
117.5,-0004.35,00129.00
120.2,-0004.48,00132.00
123.0,-0005.88,00130.00
125.9,-0006.05,00125.00
128.8,-0006.07,00134.00
131.8,-0006.68,00130.00
134.9,-0006.66,00127.00
138.0,-0008.23,00130.00
141.3,-0010.07,00130.00
144.5,-0009.11,00136.00
147.9,-0010.45,00133.00
151.4,-0010.95,00136.00
154.9,-0010.94,00122.00
158.5,-0010.43,00120.00
162.2,-0010.67,00128.00
166.0,-0008.78,00105.00
169.8,-0003.07,-0056.00
173.8,-0001.77,-0108.00
177.8,00003.99,00122.00
182.0,00000.05,00108.00
186.2,-0007.76,00112.00
190.5,-0010.27,00123.00
195.0,-0016.42,00129.00
199.5,-0015.17,00127.00
204.2,-0016.84,00121.00
208.9,-0014.45,00122.00
213.8,-0017.07,00117.00
218.8,-0019.44,00116.00
223.9,-0015.31,00125.00
229.1,-0018.13,00124.00
234.4,-0017.27,00123.00
239.9,-0017.35,00113.00
245.5,-0019.32,00088.00
251.2,-0018.23,00109.00
257.0,-0016.36,00120.00
263.0,-0020.75,00097.00
269.2,-0021.70,00128.00
275.4,-0022.75,00144.00
281.8,-0020.97,00109.00
288.4,-0018.46,00115.00
295.1,-0020.58,00143.00
302.0,-0023.27,00148.00
309.0,-0025.03,00119.00
316.2,-0023.70,00125.00
323.6,-0019.26,00119.00
331.1,-0023.16,00129.00
338.8,-0021.28,00137.00
346.7,-0021.06,00108.00
354.8,-0024.87,00112.00
363.1,-0022.51,00129.00
371.5,-0022.60,00137.00
380.2,-0025.51,00119.00
389.0,-0022.57,00101.00
398.1,-0025.80,00125.00
407.4,-0021.11,00148.00
416.9,-0021.09,00122.00
426.6,-0023.95,00120.00
436.5,-0023.75,00114.00
446.7,-0024.65,00132.00
457.1,-0027.96,00103.00
467.7,-0020.22,00123.00
478.6,-0022.59,00123.00
489.8,-0028.62,00116.00
501.2,-0023.24,00109.00
512.9,-0026.55,00126.00
524.8,-0024.01,00127.00
537.0,-0023.05,00105.00
549.5,-0023.74,00108.00
562.3,-0023.68,00096.00
575.4,-0025.44,00080.00
588.8,-0019.62,00106.00
602.6,-0022.34,00118.00
616.6,-0024.16,00101.00
631.0,-0022.81,00125.00
645.7,-0025.95,00116.00
660.7,-0023.54,00119.00
676.1,-0025.85,00105.00
691.8,-0024.82,00134.00
707.9,-0024.06,00135.00
724.4,-0027.22,00056.00
741.3,-0026.27,00081.00
758.6,-0027.22,00095.00
776.2,-0024.46,00111.00
794.3,-0024.20,00091.00
812.8,-0026.63,00087.00
831.8,-0029.80,00073.00
851.1,-0028.44,00070.00
871.0,-0023.33,00099.00
891.3,-0026.42,00113.00
912.0,-0023.60,00117.00
933.3,-0024.73,00091.00
955.0,-0026.05,00068.00
977.2,-0024.48,00078.00
1000.0,-0027.22,00096.00
1023.3,-0020.00,00093.00
1047.1,-0025.20,00102.00
1071.5,-0024.03,00075.00
1096.5,-0022.77,00074.00
1122.0,-0025.05,00061.00
1148.2,-0024.18,00089.00
1174.9,-0025.34,00081.00
1202.3,-0023.73,00076.00
1230.3,-0023.23,00073.00
1258.9,-0021.18,00055.00
1288.2,-0023.09,00079.00
1318.3,-0026.06,00076.00
1349.0,-0024.01,00089.00
1380.4,-0021.55,00060.00
1412.5,-0023.53,00066.00
1445.4,-0026.34,00076.00
1479.1,-0026.08,00050.00
1513.6,-0023.40,00097.00
1548.8,-0023.74,00077.00
1584.9,-0026.67,00092.00
1621.8,-0021.78,00065.00
1659.6,-0022.67,00062.00
1698.2,-0021.32,00057.00
1737.8,-0023.86,00064.00
1778.3,-0025.39,00067.00
1819.7,-0023.88,00038.00
1862.1,-0024.89,-0069.00
1905.5,-0026.79,-0056.00
1949.8,-0026.05,-0059.00
1995.3,-0026.14,-0068.00
2041.7,-0026.18,-0078.00
2089.3,-0022.76,-0078.00
2138.0,-0025.22,-0090.00
2187.8,-0028.22,-0114.00
2238.7,-0025.77,-0102.00
2290.9,-0026.70,-0080.00
2344.2,-0023.78,-0061.00
2398.8,-0025.05,-0075.00
2454.7,-0024.35,-0064.00
2511.9,-0024.73,-0089.00
2570.4,-0022.83,-0066.00
2630.3,-0026.76,-0056.00
2691.5,-0026.70,-0067.00
2754.2,-0024.51,-0096.00
2818.4,-0023.91,-0074.00
2884.0,-0028.10,-0103.00
2951.2,-0023.73,-0101.00
3020.0,-0028.07,-0113.00
3090.3,-0027.35,-0094.00
3162.3,-0028.84,-0090.00
3235.9,-0026.98,-0072.00
3311.3,-0025.96,-0058.00
3388.4,-0028.91,-0084.00
3467.4,-0027.33,-0069.00
3548.1,-0031.59,-0083.00
3630.8,-0031.25,-0108.00
3715.4,-0028.58,-0115.00
3801.9,-0026.98,-0111.00
3890.5,-0025.43,-0092.00
3981.1,-0031.43,-0086.00
4073.8,-0030.16,-0112.00
4168.7,-0025.89,-0106.00
4265.8,-0029.23,-0107.00
4365.2,-0028.35,-0119.00
4466.8,-0033.03,-0133.00
4570.9,-0028.52,00083.00
4677.4,-0034.41,00085.00
4786.3,-0034.58,00091.00
4897.8,-0038.85,00105.00
5011.9,-0028.15,00105.00
5128.6,-0031.46,00077.00
5248.1,-0031.56,00105.00
5370.3,-0037.33,00118.00
5495.4,-0039.61,00098.00
5623.4,-0024.97,00098.00
5754.4,-0031.63,00099.00
5888.4,-0033.03,00114.00
6025.6,-0039.35,00087.00
6166.0,-0034.83,00069.00
6309.6,-0022.26,00087.00
6456.5,-0019.29,00084.00
6606.9,-0024.50,00087.00
6760.8,-0029.76,00075.00
6918.3,-0029.11,00096.00
7079.5,-0031.84,00105.00
7244.4,-0016.11,00092.00
7413.1,-0018.84,00097.00
7585.8,-0017.19,00087.00
7762.5,-0025.11,00078.00
7943.3,-0035.98,00060.00
8128.3,-0034.45,00086.00
8317.6,-0030.85,00069.00
8511.4,-0016.53,00086.00
8709.6,-0017.14,00085.00
8912.5,-0020.90,00078.00
9120.1,-0024.11,00096.00
9332.5,-0030.80,00113.00
9549.9,-0030.61,00113.00
9772.4,-0036.83,00090.00
10000.0,-0036.52,00105.00

