Freq,Gain,Phase
10.0,00009.25,-0012.00
10.2,00010.62,-0012.00
10.5,00010.84,-0012.00
10.7,00010.87,-0012.00
11.0,00010.89,-0012.00
11.2,00010.90,-0014.00
11.5,00010.89,-0014.00
11.7,00010.87,-0014.00
12.0,00010.87,-0014.00
12.3,00010.85,-0014.00
12.6,00010.87,-0016.00
12.9,00010.91,-0014.00
13.2,00010.85,-0017.00
13.5,00010.90,-0017.00
13.8,00010.86,-0017.00
14.1,00010.86,-0017.00
14.5,00010.86,-0018.00
14.8,00010.90,-0017.00
15.1,00010.86,-0019.00
15.5,00010.90,-0019.00
15.8,00010.90,-0019.00
16.2,00010.87,-0019.00
16.6,00010.86,-0020.00
17.0,00010.85,-0020.00
17.4,00010.92,-0021.00
17.8,00010.90,-0021.00
18.2,00010.89,-0022.00
18.6,00010.89,-0022.00
19.1,00010.86,-0024.00
19.5,00010.79,-0024.00
20.0,00010.83,-0023.00
20.4,00010.85,-0025.00
20.9,00010.77,-0025.00
21.4,00010.83,-0026.00
21.9,00010.81,-0026.00
22.4,00010.83,-0026.00
22.9,00010.83,-0026.00
23.4,00010.86,-0027.00
24.0,00010.87,-0028.00
24.5,00010.94,-0029.00
25.1,00010.98,-0030.00
25.7,00010.96,-0030.00
26.3,00011.03,-0031.00
26.9,00010.98,-0032.00
27.5,00011.06,-0032.00
28.2,00011.16,-0034.00
28.8,00011.19,-0034.00
29.5,00011.28,-0034.00
30.2,00011.37,-0036.00
30.9,00011.33,-0036.00
31.6,00011.40,-0037.00
32.4,00011.47,-0037.00
33.1,00011.47,-0037.00
33.9,00011.51,-0038.00
34.7,00011.59,-0039.00
35.5,00011.76,-0040.00
36.3,00011.92,-0041.00
37.2,00011.91,-0041.00
38.0,00012.07,-0043.00
38.9,00012.02,-0043.00
39.8,00012.14,-0043.00
40.7,00012.25,-0044.00
41.7,00012.37,-0045.00
42.7,00012.58,-0046.00
43.7,00012.73,-0047.00
44.7,00012.94,-0048.00
45.7,00013.09,-0049.00
46.8,00013.34,-0052.00
47.9,00013.58,-0051.00
49.0,00013.86,-0052.00
50.1,00014.41,-0054.00
51.3,00014.90,-0057.00
52.5,00015.44,-0058.00
53.7,00015.95,-0060.00
55.0,00016.42,-0062.00
56.2,00017.52,-0067.00
57.5,00018.18,-0070.00
58.9,00018.79,-0074.00
60.3,00020.12,-0082.00
61.7,00021.03,-0090.00
63.1,00022.24,-0105.00
64.6,00022.84,-0116.00
66.1,00022.97,-0138.00
67.6,00022.56,-0152.00
69.2,00021.00,-0170.00
70.8,00019.71,00178.00
72.4,00017.85,00170.00
74.1,00015.79,00161.00
75.9,00014.63,00156.00
77.6,00012.94,00153.00
79.4,00011.31,00149.00
81.3,00009.90,00146.00
83.2,00008.59,00145.00
85.1,00007.40,00144.00
87.1,00006.34,00142.00
89.1,00005.36,00141.00
91.2,00004.46,00140.00
93.3,00003.75,00139.00
95.5,00002.97,00138.00
97.7,00001.96,00138.00
100.0,00001.19,00136.00
102.3,00000.26,00137.00
104.7,00000.22,00136.00
107.2,-0001.53,00135.00
109.6,-0001.80,00134.00
112.2,-0002.64,00134.00
114.8,-0003.30,00133.00
117.5,-0004.23,00134.00
120.2,-0004.68,00132.00
123.0,-0005.13,00129.00
125.9,-0006.01,00133.00
128.8,-0006.25,00130.00
131.8,-0006.57,00129.00
134.9,-0007.70,00131.00
138.0,-0007.95,00132.00
141.3,-0009.48,00135.00
144.5,-0009.96,00128.00
147.9,-0010.36,00129.00
151.4,-0011.38,00129.00
154.9,-0011.77,00125.00
158.5,-0011.70,00124.00
162.2,-0010.93,00128.00
166.0,-0008.18,00099.00
169.8,-0002.68,-0057.00
173.8,-0002.30,-0108.00
177.8,00003.43,00123.00
182.0,00000.97,00108.00
186.2,-0009.29,00112.00
190.5,-0012.15,00123.00
195.0,-0014.48,00122.00
199.5,-0014.38,00127.00
204.2,-0014.93,00126.00
208.9,-0017.47,00130.00
213.8,-0019.47,00125.00
218.8,-0015.98,00128.00
223.9,-0018.17,00119.00
229.1,-0020.88,00123.00
234.4,-0018.34,00123.00
239.9,-0020.03,00114.00
245.5,-0022.01,00143.00
251.2,-0021.71,00121.00
257.0,-0020.83,00116.00
263.0,-0022.15,00120.00
269.2,-0025.29,00121.00
275.4,-0024.94,00119.00
281.8,-0022.89,00099.00
288.4,-0024.35,00130.00
295.1,-0028.68,00126.00
302.0,-0026.13,00129.00
309.0,-0024.30,00153.00
316.2,-0024.41,00133.00
323.6,-0023.13,00155.00
331.1,-0025.56,00132.00
338.8,-0023.18,00119.00
346.7,-0028.32,00106.00
354.8,-0028.56,00123.00
363.1,-0027.93,00109.00
371.5,-0027.78,00135.00
380.2,-0025.23,00133.00
389.0,-0024.93,00119.00
398.1,-0026.32,00127.00
407.4,-0027.58,00132.00
416.9,-0027.38,00101.00
426.6,-0022.55,00130.00
436.5,-0026.15,00116.00
446.7,-0026.24,00143.00
457.1,-0027.91,00127.00
467.7,-0026.08,00149.00
478.6,-0026.93,00120.00
489.8,-0029.26,00101.00
501.2,-0025.61,00119.00
512.9,-0023.70,00129.00
524.8,-0026.80,00134.00
537.0,-0029.81,00145.00
549.5,-0025.06,00136.00
562.3,-0031.68,00134.00
575.4,-0028.35,00139.00
588.8,-0024.75,00119.00
602.6,-0026.56,00128.00
616.6,-0028.08,00099.00
631.0,-0031.73,00113.00
645.7,-0025.90,00115.00
660.7,-0029.51,00107.00
676.1,-0027.54,00133.00
691.8,-0027.19,00128.00
707.9,-0029.62,00104.00
724.4,-0027.79,00100.00
741.3,-0025.55,00128.00
758.6,-0030.85,00151.00
776.2,-0027.94,00109.00
794.3,-0031.90,00090.00
812.8,-0028.39,00082.00
831.8,-0031.49,00109.00
851.1,-0028.83,00108.00
871.0,-0033.18,00084.00
891.3,-0028.17,00109.00
912.0,-0029.27,00091.00
933.3,-0032.79,00089.00
955.0,-0029.44,00118.00
977.2,-0030.86,00106.00
1000.0,-0026.17,00097.00
1023.3,-0031.79,00095.00
1047.1,-0025.93,00070.00
1071.5,-0028.77,00093.00
1096.5,-0031.31,00072.00
1122.0,-0026.88,00053.00
1148.2,-0031.72,00078.00
1174.9,-0030.80,00090.00
1202.3,-0034.65,00077.00
1230.3,-0031.62,00052.00
1258.9,-0026.02,00074.00
1288.2,-0035.24,00080.00
1318.3,-0026.08,00068.00
1349.0,-0032.58,00072.00
1380.4,-0030.69,00049.00
1412.5,-0030.56,00066.00
1445.4,-0031.88,00083.00
1479.1,-0027.77,00074.00
1513.6,-0029.53,00078.00
1548.8,-0031.82,00074.00
1584.9,-0027.52,00056.00
1621.8,-0027.62,00051.00
1659.6,-0028.96,00053.00
1698.2,-0031.85,00035.00
1737.8,-0026.81,00043.00
1778.3,-0030.23,00067.00
1819.7,-0029.15,00061.00
1862.1,-0027.34,00032.00
1905.5,-0028.38,00041.00
1949.8,-0028.42,00068.00
1995.3,-0029.81,00073.00
2041.7,-0029.20,00059.00
2089.3,-0026.52,00058.00
2138.0,-0026.59,00056.00
2187.8,-0030.59,00042.00
2238.7,-0030.02,00051.00
2290.9,-0027.83,00079.00
2344.2,-0028.12,00074.00
2398.8,-0029.07,00059.00
2454.7,-0033.28,00079.00
2511.9,-0028.44,00100.00
2570.4,-0028.50,00074.00
2630.3,-0033.33,00081.00
2691.5,-0033.84,00090.00
2754.2,-0030.36,00085.00
2818.4,-0028.49,00056.00
2884.0,-0031.60,00080.00
2951.2,-0030.83,00095.00
3020.0,-0029.09,00070.00
3090.3,-0031.74,00048.00
3162.3,-0026.52,00071.00
3235.9,-0033.01,00093.00
3311.3,-0030.87,00090.00
3388.4,-0032.76,00091.00
3467.4,-0036.57,00096.00
3548.1,-0032.84,00099.00
3630.8,-0033.89,00110.00
3715.4,-0041.90,00087.00
3801.9,-0036.55,00104.00
3890.5,-0035.24,00092.00
3981.1,-0030.22,00093.00
4073.8,-0035.83,00079.00
4168.7,-0029.14,00091.00
4265.8,-0032.73,00091.00
4365.2,-0038.67,00079.00
4466.8,-0039.93,00075.00
4570.9,-0031.33,00090.00
4677.4,-0040.97,00075.00
4786.3,-0042.04,00098.00
4897.8,-0041.22,00087.00
5011.9,-0032.93,00078.00
5128.6,-0038.14,00069.00
5248.1,-0041.38,00073.00
5370.3,-0045.15,00102.00
5495.4,-0047.99,00114.00
5623.4,-0031.94,00090.00
5754.4,-0038.10,00089.00
5888.4,-0035.64,00082.00
6025.6,-0040.89,00104.00
6166.0,-0045.42,00075.00
6309.6,-0026.53,00087.00
6456.5,-0026.92,00095.00
6606.9,-0033.30,00100.00
6760.8,-0033.04,00095.00
6918.3,-0034.60,00101.00
7079.5,-0041.86,00108.00
7244.4,-0028.94,00091.00
7413.1,-0024.94,00081.00
7585.8,-0029.37,00082.00
7762.5,-0029.91,00092.00
7943.3,-0042.12,00086.00
8128.3,-0037.65,00061.00
8317.6,-0047.86,00073.00
8511.4,-0022.41,00088.00
8709.6,-0026.07,00092.00
8912.5,-0024.95,00101.00
9120.1,-0035.83,00075.00
9332.5,-0038.37,00090.00
9549.9,-0041.18,00074.00
9772.4,-0044.35,00089.00
10000.0,-0041.68,00115.00

