Freq,Gain,Phase
10.0,00009.30,-0012.00
10.2,00010.66,-0010.00
10.5,00010.85,-0010.00
10.7,00010.88,-0010.00
11.0,00010.88,-0010.00
11.2,00010.85,-0012.00
11.5,00010.86,-0014.00
11.7,00010.86,-0014.00
12.0,00010.84,-0014.00
12.3,00010.85,-0014.00
12.6,00010.86,-0014.00
12.9,00010.85,-0014.00
13.2,00010.86,-0017.00
13.5,00010.89,-0017.00
13.8,00010.88,-0017.00
14.1,00010.88,-0017.00
14.5,00010.87,-0017.00
14.8,00010.85,-0017.00
15.1,00010.94,-0019.00
15.5,00010.92,-0019.00
15.8,00010.89,-0019.00
16.2,00010.87,-0020.00
16.6,00010.93,-0019.00
17.0,00010.87,-0020.00
17.4,00010.93,-0021.00
17.8,00010.89,-0022.00
18.2,00010.88,-0022.00
18.6,00010.94,-0022.00
19.1,00010.83,-0024.00
19.5,00010.80,-0024.00
20.0,00010.77,-0024.00
20.4,00010.80,-0024.00
20.9,00010.79,-0024.00
21.4,00010.83,-0026.00
21.9,00010.85,-0026.00
22.4,00010.83,-0027.00
22.9,00010.86,-0027.00
23.4,00010.87,-0027.00
24.0,00010.89,-0028.00
24.5,00010.91,-0028.00
25.1,00010.93,-0030.00
25.7,00010.98,-0030.00
26.3,00011.06,-0031.00
26.9,00011.06,-0031.00
27.5,00011.13,-0032.00
28.2,00011.23,-0034.00
28.8,00011.18,-0034.00
29.5,00011.24,-0034.00
30.2,00011.29,-0035.00
30.9,00011.33,-0036.00
31.6,00011.40,-0037.00
32.4,00011.39,-0037.00
33.1,00011.55,-0038.00
33.9,00011.47,-0038.00
34.7,00011.61,-0039.00
35.5,00011.73,-0040.00
36.3,00011.83,-0041.00
37.2,00011.93,-0042.00
38.0,00012.02,-0042.00
38.9,00012.12,-0043.00
39.8,00012.14,-0043.00
40.7,00012.28,-0044.00
41.7,00012.40,-0045.00
42.7,00012.48,-0046.00
43.7,00012.72,-0047.00
44.7,00012.99,-0048.00
45.7,00013.08,-0049.00
46.8,00013.24,-0050.00
47.9,00013.47,-0051.00
49.0,00013.76,-0051.00
50.1,00014.41,-0054.00
51.3,00014.90,-0056.00
52.5,00015.42,-0058.00
53.7,00015.95,-0060.00
55.0,00016.44,-0062.00
56.2,00017.42,-0065.00
57.5,00018.14,-0070.00
58.9,00018.80,-0074.00
60.3,00020.20,-0083.00
61.7,00021.12,-0090.00
63.1,00022.32,-0105.00
64.6,00022.82,-0116.00
66.1,00023.51,-0137.00
67.6,00022.54,-0152.00
69.2,00021.01,-0170.00
70.8,00019.72,00178.00
72.4,00017.79,00170.00
74.1,00015.82,00161.00
75.9,00014.59,00159.00
77.6,00012.93,00153.00
79.4,00011.33,00149.00
81.3,00009.88,00147.00
83.2,00008.60,00145.00
85.1,00007.38,00144.00
87.1,00006.42,00142.00
89.1,00005.37,00141.00
91.2,00004.40,00140.00
93.3,00003.74,00139.00
95.5,00002.71,00139.00
97.7,00002.05,00137.00
100.0,00001.09,00137.00
102.3,00000.13,00136.00
104.7,00000.54,00136.00
107.2,-0001.51,00133.00
109.6,-0001.90,00136.00
112.2,-0002.98,00133.00
114.8,-0003.62,00132.00
117.5,-0004.07,00131.00
120.2,-0004.51,00132.00
123.0,-0005.47,00130.00
125.9,-0005.59,00132.00
128.8,-0006.44,00128.00
131.8,-0007.25,00132.00
134.9,-0007.69,00128.00
138.0,-0008.68,00128.00
141.3,-0008.84,00132.00
144.5,-0010.10,00127.00
147.9,-0009.94,00125.00
151.4,-0010.45,00127.00
154.9,-0011.38,00122.00
158.5,-0012.37,00128.00
162.2,-0011.09,00128.00
166.0,-0008.65,00104.00
169.8,-0003.20,-0056.00
173.8,-0002.94,-0110.00
177.8,00003.51,00122.00
182.0,-0001.50,00105.00
186.2,-0009.42,00113.00
190.5,-0012.33,00116.00
195.0,-0013.59,00124.00
199.5,-0014.45,00124.00
204.2,-0017.09,00122.00
208.9,-0014.95,00122.00
213.8,-0016.90,00120.00
218.8,-0015.94,00119.00
223.9,-0017.33,00122.00
229.1,-0019.81,00124.00
234.4,-0019.58,00122.00
239.9,-0019.40,00114.00
245.5,-0020.60,00126.00
251.2,-0022.95,00104.00
257.0,-0022.54,00106.00
263.0,-0022.68,00128.00
269.2,-0023.12,00123.00
275.4,-0022.37,00118.00
281.8,-0024.17,00127.00
288.4,-0022.59,00142.00
295.1,-0024.58,00132.00
302.0,-0028.98,00109.00
309.0,-0023.32,00120.00
316.2,-0025.13,00129.00
323.6,-0025.12,00124.00
331.1,-0024.17,00134.00
338.8,-0027.63,00126.00
346.7,-0032.75,00104.00
354.8,-0028.07,00113.00
363.1,-0024.36,00139.00
371.5,-0026.10,00135.00
380.2,-0027.70,00127.00
389.0,-0028.48,00099.00
398.1,-0028.43,-0147.00
407.4,-0024.09,-0147.00
416.9,-0025.92,-0119.00
426.6,-0026.15,00134.00
436.5,-0027.70,00142.00
446.7,-0022.74,00148.00
457.1,-0026.17,00158.00
467.7,-0025.09,00138.00
478.6,-0028.18,00109.00
489.8,-0029.62,00128.00
501.2,-0029.53,00117.00
512.9,-0026.49,00130.00
524.8,-0029.14,00142.00
537.0,-0026.19,00116.00
549.5,-0026.85,00114.00
562.3,-0026.36,00104.00
575.4,-0027.77,00094.00
588.8,-0029.83,00121.00
602.6,-0029.62,00116.00
616.6,-0030.74,00123.00
631.0,-0034.05,00094.00
645.7,-0028.14,00090.00
660.7,-0030.26,00110.00
676.1,-0029.79,00122.00
691.8,-0028.59,00106.00
707.9,-0031.23,00078.00
724.4,-0028.59,00100.00
741.3,-0029.62,00125.00
758.6,-0027.76,00115.00
776.2,-0029.72,00090.00
794.3,-0029.42,00080.00
812.8,-0029.89,00096.00
831.8,-0027.36,00095.00
851.1,-0031.06,00082.00
871.0,-0030.52,00082.00
891.3,-0029.88,00108.00
912.0,-0027.94,00090.00
933.3,-0030.77,00091.00
955.0,-0028.04,00119.00
977.2,-0030.58,00126.00
1000.0,-0027.65,00098.00
1023.3,-0032.26,00075.00
1047.1,-0028.36,00074.00
1071.5,-0032.61,00071.00
1096.5,-0029.74,00094.00
1122.0,-0029.95,00072.00
1148.2,-0030.46,00077.00
1174.9,-0028.53,00085.00
1202.3,-0027.06,00112.00
1230.3,-0034.07,00085.00
1258.9,-0030.17,00090.00
1288.2,-0034.68,00078.00
1318.3,-0028.91,00089.00
1349.0,-0028.26,00066.00
1380.4,-0033.29,00076.00
1412.5,-0031.59,00089.00
1445.4,-0027.92,00063.00
1479.1,-0030.04,00091.00
1513.6,-0030.14,00097.00
1548.8,-0030.29,00078.00
1584.9,-0033.77,00078.00
1621.8,-0027.35,00083.00
1659.6,-0030.46,00088.00
1698.2,-0030.19,00069.00
1737.8,-0030.52,00056.00
1778.3,-0030.98,00036.00
1819.7,-0032.15,00053.00
1862.1,-0025.42,00057.00
1905.5,-0031.67,00079.00
1949.8,-0027.92,00050.00
1995.3,-0028.88,00052.00
2041.7,-0029.15,00053.00
2089.3,-0029.62,00049.00
2138.0,-0029.23,00039.00
2187.8,-0033.10,00054.00
2238.7,-0032.27,00063.00
2290.9,-0026.32,00050.00
2344.2,-0029.33,00078.00
2398.8,-0024.70,00098.00
2454.7,-0029.71,00072.00
2511.9,-0027.48,00059.00
2570.4,-0030.43,00081.00
2630.3,-0028.22,00055.00
2691.5,-0028.86,00071.00
2754.2,-0031.06,00100.00
2818.4,-0032.61,00094.00
2884.0,-0030.21,00102.00
2951.2,-0027.33,00107.00
3020.0,-0030.18,00084.00
3090.3,-0027.60,00080.00
3162.3,-0027.16,00082.00
3235.9,-0034.03,00106.00
3311.3,-0032.17,00112.00
3388.4,-0031.41,00091.00
3467.4,-0034.96,00092.00
3548.1,-0030.28,00078.00
3630.8,-0031.71,00104.00
3715.4,-0035.01,00079.00
3801.9,-0036.94,00108.00
3890.5,-0030.28,00088.00
3981.1,-0032.87,00092.00
4073.8,-0038.47,00098.00
4168.7,-0033.05,00084.00
4265.8,-0032.90,00055.00
4365.2,-0041.64,00069.00
4466.8,-0038.81,00077.00
4570.9,-0036.78,00094.00
4677.4,-0037.87,00088.00
4786.3,-0041.39,00076.00
4897.8,-0042.50,00057.00
5011.9,-0035.88,00078.00
5128.6,-0041.71,00086.00
5248.1,-0041.15,00093.00
5370.3,-0044.39,00083.00
5495.4,-0047.73,00084.00
5623.4,-0030.68,00093.00
