Freq,Gain,Phase
10.0,00009.31,-0010.00
10.2,00010.70,-0010.00
10.5,00010.84,-0010.00
10.7,00010.89,-0010.00
11.0,00010.90,-0010.00
11.2,00010.90,-0014.00
11.5,00010.91,-0014.00
11.7,00010.93,-0014.00
12.0,00010.93,-0014.00
12.3,00010.90,-0014.00
12.6,00010.95,-0016.00
12.9,00010.93,-0014.00
13.2,00010.90,-0017.00
13.5,00010.95,-0017.00
13.8,00010.93,-0017.00
14.1,00010.90,-0017.00
14.5,00010.95,-0018.00
14.8,00010.90,-0018.00
15.1,00010.92,-0019.00
15.5,00010.91,-0019.00
15.8,00010.92,-0019.00
16.2,00010.95,-0020.00
16.6,00010.93,-0020.00
17.0,00010.91,-0020.00
17.4,00010.93,-0021.00
17.8,00010.93,-0022.00
18.2,00010.98,-0023.00
18.6,00010.98,-0023.00
19.1,00010.88,-0023.00
19.5,00010.81,-0024.00
20.0,00010.82,-0024.00
20.4,00010.80,-0024.00
20.9,00010.84,-0024.00
21.4,00010.85,-0026.00
21.9,00010.88,-0026.00
22.4,00010.83,-0026.00
22.9,00010.89,-0027.00
23.4,00010.92,-0028.00
24.0,00010.90,-0028.00
24.5,00010.89,-0029.00
25.1,00011.00,-0031.00
25.7,00010.95,-0031.00
26.3,00011.01,-0031.00
26.9,00011.11,-0032.00
27.5,00011.13,-0032.00
28.2,00011.18,-0034.00
28.8,00011.21,-0034.00
29.5,00011.32,-0035.00
30.2,00011.41,-0036.00
30.9,00011.42,-0036.00
31.6,00011.39,-0036.00
32.4,00011.50,-0037.00
33.1,00011.52,-0038.00
33.9,00011.62,-0039.00
34.7,00011.67,-0039.00
35.5,00011.80,-0040.00
36.3,00011.93,-0041.00
37.2,00011.97,-0041.00
38.0,00012.11,-0043.00
38.9,00012.05,-0042.00
39.8,00012.23,-0044.00
40.7,00012.29,-0044.00
41.7,00012.40,-0045.00
42.7,00012.62,-0046.00
43.7,00012.77,-0047.00
44.7,00012.98,-0047.00
45.7,00013.03,-0049.00
46.8,00013.26,-0050.00
47.9,00013.46,-0051.00
49.0,00013.76,-0052.00
50.1,00014.44,-0055.00
51.3,00014.90,-0056.00
52.5,00015.45,-0058.00
53.7,00015.86,-0059.00
55.0,00016.39,-0062.00
56.2,00017.38,-0067.00
57.5,00018.10,-0070.00
58.9,00018.73,-0074.00
60.3,00020.16,-0083.00
61.7,00021.10,-0090.00
63.1,00022.31,-0105.00
64.6,00022.91,-0115.00
66.1,00022.93,-0137.00
67.6,00022.51,-0152.00
69.2,00020.99,-0170.00
70.8,00019.71,00178.00
72.4,00017.82,00170.00
74.1,00015.79,00161.00
75.9,00014.65,00157.00
77.6,00013.01,00153.00
79.4,00011.43,00149.00
81.3,00009.96,00147.00
83.2,00008.67,00145.00
85.1,00007.53,00143.00
87.1,00006.52,00143.00
89.1,00005.58,00141.00
91.2,00004.57,00140.00
93.3,00003.69,00139.00
95.5,00002.95,00139.00
97.7,00002.20,00136.00
100.0,00001.51,00138.00
102.3,00000.63,00137.00
104.7,00000.06,00135.00
107.2,00000.87,00134.00
109.6,-0001.42,00135.00
112.2,-0002.06,00132.00
114.8,-0002.86,00134.00
117.5,-0003.42,00133.00
120.2,-0004.59,00131.00
123.0,-0004.90,00129.00
125.9,-0005.92,00130.00
128.8,-0006.30,00126.00
131.8,-0006.80,00130.00
134.9,-0007.08,00129.00
138.0,-0007.93,00127.00
141.3,-0008.96,00128.00
144.5,-0009.74,00130.00
147.9,-0009.94,00130.00
151.4,-0010.43,00125.00
154.9,-0010.63,00128.00
158.5,-0012.14,00124.00
162.2,-0010.16,00128.00
166.0,-0007.58,00099.00
169.8,-0002.23,-0054.00
173.8,-0002.67,-0109.00
177.8,00003.66,00122.00
182.0,00000.67,00109.00
186.2,-0008.79,00113.00
190.5,-0011.51,00121.00
195.0,-0013.65,00130.00
199.5,-0013.69,00130.00
204.2,-0014.82,00122.00
208.9,-0016.06,00125.00
213.8,-0018.78,00118.00
218.8,-0018.50,00122.00
223.9,-0019.82,00119.00
229.1,-0020.54,00122.00
234.4,-0019.05,00135.00
239.9,-0018.67,00130.00
245.5,-0022.63,00118.00
251.2,-0022.71,00129.00
257.0,-0022.85,00131.00
263.0,-0021.62,00118.00
269.2,-0023.46,00129.00
275.4,-0022.18,00129.00
281.8,-0027.57,00120.00
288.4,-0022.66,00121.00
295.1,-0024.67,00133.00
302.0,-0023.06,00116.00
309.0,-0024.14,00135.00
316.2,-0024.12,00116.00
323.6,-0024.78,00102.00
331.1,-0025.08,00128.00
338.8,-0027.67,00116.00
346.7,-0027.18,00110.00
354.8,-0025.50,00132.00
363.1,-0024.75,00120.00
371.5,-0025.88,00109.00
380.2,-0031.76,00132.00
389.0,-0025.10,00127.00
398.1,-0028.23,00134.00
407.4,-0026.72,00117.00
416.9,-0023.12,00114.00
426.6,-0029.16,00135.00
436.5,-0027.43,00129.00
446.7,-0028.01,00140.00
457.1,-0029.61,00089.00
467.7,-0030.95,00116.00
478.6,-0025.04,00128.00
489.8,-0029.63,00134.00
501.2,-0027.81,00126.00
512.9,-0026.72,00111.00
524.8,-0033.77,00125.00
537.0,-0029.33,00109.00
549.5,-0025.90,00122.00
562.3,-0030.34,00096.00
575.4,-0028.31,00112.00
588.8,-0028.98,00119.00
602.6,-0031.40,00125.00
616.6,-0031.32,00116.00
631.0,-0026.21,00140.00
645.7,-0031.33,00112.00
660.7,-0027.73,00104.00
676.1,-0026.36,00124.00
691.8,-0032.98,00107.00
707.9,-0029.31,00104.00
724.4,-0029.93,00130.00
741.3,-0028.37,00102.00
758.6,-0026.69,00080.00
776.2,-0030.30,00109.00
794.3,-0028.14,00112.00
812.8,-0031.11,00115.00
831.8,-0030.68,00110.00
851.1,-0028.81,00082.00
871.0,-0032.94,00107.00
891.3,-0031.73,00085.00
912.0,-0030.51,00102.00
933.3,-0029.31,00038.00
955.0,-0026.45,00052.00
977.2,-0028.28,00078.00
1000.0,-0031.09,00090.00
1023.3,-0026.19,00083.00
1047.1,-0034.90,00071.00
1071.5,-0028.37,00076.00
1096.5,-0027.52,00081.00
1122.0,-0028.21,00091.00
1148.2,-0030.84,00078.00
1174.9,-0027.79,00105.00
1202.3,-0027.85,00083.00
1230.3,-0027.48,00063.00
1258.9,-0029.81,00050.00
1288.2,-0029.24,00057.00
1318.3,-0031.63,00080.00
1349.0,-0031.20,00082.00
1380.4,-0030.10,00069.00
1412.5,-0030.77,00077.00
1445.4,-0028.54,00084.00
1479.1,-0027.78,00070.00
1513.6,-0028.73,00099.00
1548.8,-0027.79,00080.00
1584.9,-0027.61,00052.00
1621.8,-0028.77,00047.00
1659.6,-0032.86,00053.00
1698.2,-0026.68,00077.00
1737.8,-0030.91,00067.00
1778.3,-0032.29,00081.00
1819.7,-0031.75,00062.00
1862.1,-0026.74,00058.00
1905.5,-0029.50,00036.00
1949.8,-0029.04,00041.00
1995.3,-0030.87,00055.00
2041.7,-0035.83,00079.00
2089.3,-0031.81,00066.00
2138.0,-0030.67,00049.00
2187.8,-0031.05,00068.00
2238.7,-0029.73,00063.00
2290.9,-0032.21,00067.00
2344.2,-0029.03,00093.00
2398.8,-0029.40,00080.00
2454.7,-0030.15,00058.00
2511.9,-0028.87,00041.00
2570.4,-0030.60,00061.00
2630.3,-0030.35,00083.00
2691.5,-0032.67,00085.00
2754.2,-0030.04,00085.00
2818.4,-0029.11,00076.00
2884.0,-0034.57,00102.00
2951.2,-0032.46,00096.00
3020.0,-0032.57,00089.00
3090.3,-0031.58,00061.00
3162.3,-0032.24,00084.00
3235.9,-0032.61,00062.00
3311.3,-0034.40,00057.00
3388.4,-0034.36,00080.00
3467.4,-0032.77,00100.00
3548.1,-0032.29,00124.00
3630.8,-0035.84,00133.00
3715.4,-0034.15,00109.00
3801.9,-0034.96,00122.00
3890.5,-0034.20,00116.00
3981.1,-0034.77,00087.00
4073.8,-0039.28,00106.00
4168.7,-0026.12,00083.00
4265.8,-0035.89,00088.00
4365.2,-0038.47,00090.00
4466.8,-0041.71,00092.00
4570.9,-0037.54,00071.00
4677.4,-0038.38,00086.00
4786.3,-0040.65,00115.00
4897.8,-0045.67,00098.00
5011.9,-0032.80,00078.00
5128.6,-0032.79,00091.00
5248.1,-0044.55,00064.00
5370.3,-0046.19,00078.00
5495.4,-0048.16,00088.00
5623.4,-0034.86,00103.00
5754.4,-0033.46,00086.00
5888.4,-0040.04,00078.00
6025.6,-0042.41,00085.00
6166.0,-0044.77,00082.00
6309.6,-0024.39,00094.00
6456.5,-0028.26,00086.00
6606.9,-0030.92,00079.00
6760.8,-0033.40,00092.00
6918.3,-0035.40,00071.00
7079.5,-0039.76,00091.00
7244.4,-0020.68,00088.00
7413.1,-0023.11,00085.00
7585.8,-0028.35,00075.00
7762.5,-0038.34,00057.00
7943.3,-0037.07,00059.00
8128.3,-0036.53,00058.00
8317.6,-0035.29,00069.00
8511.4,-0022.76,00082.00
8709.6,-0023.30,00086.00
8912.5,-0027.39,00091.00
9120.1,-0030.44,00095.00
9332.5,-0037.48,00096.00
9549.9,-0039.97,00106.00
