Freq,Gain,Phase
10.0,00010.62,-0010.00
10.2,00010.80,-0012.00
10.5,00010.88,-0012.00
10.7,00010.85,-0012.00
11.0,00010.84,-0012.00
11.2,00010.84,-0014.00
11.5,00010.84,-0014.00
11.7,00010.85,-0014.00
12.0,00010.84,-0014.00
12.3,00010.83,-0016.00
12.6,00010.81,-0014.00
12.9,00010.84,-0014.00
13.2,00010.80,-0016.00
13.5,00010.81,-0016.00
13.8,00010.83,-0017.00
14.1,00010.88,-0017.00
14.5,00010.85,-0017.00
14.8,00010.79,-0017.00
15.1,00010.85,-0019.00
15.5,00010.87,-0019.00
15.8,00010.87,-0017.00
16.2,00010.87,-0019.00
16.6,00010.86,-0020.00
17.0,00010.87,-0020.00
17.4,00010.87,-0021.00
17.8,00010.84,-0021.00
18.2,00010.86,-0022.00
18.6,00010.88,-0022.00
19.1,00010.77,-0023.00
19.5,00010.81,-0024.00
20.0,00010.79,-0024.00
20.4,00010.75,-0024.00
20.9,00010.79,-0024.00
21.4,00010.81,-0026.00
21.9,00010.80,-0026.00
22.4,00010.83,-0027.00
22.9,00010.78,-0027.00
23.4,00010.81,-0027.00
24.0,00010.81,-0027.00
24.5,00010.87,-0029.00
25.1,00010.91,-0030.00
25.7,00010.95,-0031.00
26.3,00010.95,-0032.00
26.9,00010.99,-0032.00
27.5,00011.02,-0032.00
28.2,00011.12,-0033.00
28.8,00011.15,-0033.00
29.5,00011.20,-0034.00
30.2,00011.29,-0035.00
30.9,00011.35,-0036.00
31.6,00011.38,-0037.00
32.4,00011.33,-0037.00
33.1,00011.48,-0038.00
33.9,00011.51,-0038.00
34.7,00011.60,-0038.00
35.5,00011.74,-0040.00
36.3,00011.84,-0041.00
37.2,00011.87,-0042.00
38.0,00012.01,-0043.00
38.9,00011.96,-0043.00
39.8,00012.12,-0043.00
40.7,00012.15,-0044.00
41.7,00012.30,-0045.00
42.7,00012.52,-0046.00
43.7,00012.72,-0047.00
44.7,00012.89,-0048.00
45.7,00013.02,-0049.00
46.8,00013.24,-0050.00
47.9,00013.55,-0051.00
49.0,00013.79,-0052.00
50.1,00014.47,-0054.00
51.3,00014.87,-0056.00
52.5,00015.37,-0058.00
53.7,00015.90,-0060.00
55.0,00016.38,-0062.00
56.2,00017.38,-0067.00
57.5,00018.17,-0070.00
58.9,00018.77,-0073.00
60.3,00020.17,-0083.00
61.7,00021.02,-0090.00
63.1,00022.24,-0104.00
64.6,00022.83,-0116.00
66.1,00022.92,-0138.00
67.6,00022.56,-0152.00
69.2,00020.98,-0170.00
70.8,00019.72,00178.00
72.4,00017.82,00170.00
74.1,00015.81,00161.00
75.9,00014.60,00157.00
77.6,00012.94,00153.00
79.4,00011.33,00149.00
81.3,00009.91,00147.00
83.2,00008.50,00145.00
85.1,00007.46,00144.00
87.1,00006.32,00143.00
89.1,00005.40,00141.00
91.2,00004.58,00140.00
93.3,00003.70,00139.00
95.5,00002.85,00138.00
97.7,00001.98,00138.00
100.0,00001.35,00138.00
102.3,00000.38,00137.00
104.7,00000.29,00135.00
107.2,-0001.27,00135.00
109.6,-0001.80,00135.00
112.2,-0002.53,00135.00
114.8,-0003.05,00135.00
117.5,-0004.01,00133.00
120.2,-0004.65,00133.00
123.0,-0005.13,00130.00
125.9,-0005.34,00130.00
128.8,-0006.04,00128.00
131.8,-0006.58,00132.00
134.9,-0007.81,00130.00
138.0,-0007.90,00132.00
141.3,-0008.97,00128.00
144.5,-0009.33,00131.00
147.9,-0010.73,00128.00
151.4,-0011.68,00127.00
154.9,-0010.91,00133.00
158.5,-0011.42,00125.00
162.2,-0010.27,00131.00
166.0,-0008.64,00103.00
169.8,-0002.72,-0055.00
173.8,-0002.27,-0109.00
177.8,00003.29,00122.00
182.0,00000.69,00109.00
186.2,-0009.25,00113.00
190.5,-0011.61,00122.00
195.0,-0013.85,00120.00
199.5,-0014.43,00128.00
204.2,-0015.74,00126.00
208.9,-0017.40,00116.00
213.8,-0016.12,00122.00
218.8,-0018.12,00119.00
223.9,-0018.37,00130.00
229.1,-0019.95,00116.00
234.4,-0018.49,00111.00
239.9,-0019.33,00124.00
245.5,-0021.29,00106.00
251.2,-0021.26,00132.00
257.0,-0020.78,00128.00
263.0,-0023.53,00115.00
269.2,-0021.97,00134.00
275.4,-0023.86,00131.00
281.8,-0023.37,00115.00
288.4,-0023.24,00130.00
295.1,-0023.53,00125.00
302.0,-0028.22,00115.00
309.0,-0026.75,00136.00
316.2,-0026.53,00128.00
323.6,-0025.59,00125.00
331.1,-0026.46,00133.00
338.8,-0026.51,00104.00
346.7,-0026.16,00127.00
354.8,-0025.09,00128.00
363.1,-0025.75,00122.00
371.5,-0026.85,00103.00
380.2,-0027.86,00108.00
389.0,-0026.93,00136.00
398.1,-0028.96,00109.00
407.4,-0026.71,00127.00
416.9,-0024.27,00141.00
426.6,-0027.82,00136.00
436.5,-0026.65,00149.00
446.7,-0029.69,00122.00
457.1,-0028.02,00128.00
467.7,-0030.09,00118.00
478.6,-0025.42,00128.00
489.8,-0024.26,00108.00
501.2,-0030.96,00083.00
512.9,-0026.79,00148.00
524.8,-0029.64,00119.00
537.0,-0026.67,00099.00
549.5,-0029.69,00104.00
562.3,-0029.57,00133.00
575.4,-0027.40,00117.00
588.8,-0029.98,00104.00
602.6,-0029.44,00094.00
616.6,-0027.66,00120.00
631.0,-0031.93,00136.00
645.7,-0029.25,00128.00
660.7,-0024.90,00106.00
676.1,-0026.90,00135.00
691.8,-0025.45,00113.00
707.9,-0028.91,00127.00
724.4,-0031.50,00117.00
741.3,-0028.16,00112.00
758.6,-0027.95,00106.00
776.2,-0028.68,00083.00
794.3,-0031.81,00098.00
812.8,-0027.79,00079.00
831.8,-0029.26,00107.00
851.1,-0032.45,00096.00
871.0,-0030.18,00078.00
891.3,-0028.37,00084.00
912.0,-0025.48,00081.00
933.3,-0032.86,00091.00
955.0,-0028.32,00072.00
977.2,-0028.47,00097.00
1000.0,-0028.63,00078.00
1023.3,-0032.20,00071.00
1047.1,-0027.55,00099.00
