Freq,Gain,Phase
10.0,00009.46,-0012.00
10.2,00010.85,-0012.00
10.5,00011.02,-0012.00
10.7,00011.04,-0012.00
11.0,00011.06,-0012.00
11.2,00011.04,-0012.00
11.5,00011.05,-0014.00
11.7,00011.04,-0014.00
12.0,00011.03,-0014.00
12.3,00011.02,-0014.00
12.6,00011.01,-0014.00
12.9,00011.02,-0014.00
13.2,00011.04,-0015.00
13.5,00010.98,-0017.00
13.8,00011.02,-0017.00
14.1,00010.97,-0017.00
14.5,00010.94,-0018.00
14.8,00010.94,-0017.00
15.1,00010.98,-0019.00
15.5,00010.94,-0019.00
15.8,00010.94,-0019.00
16.2,00010.97,-0019.00
16.6,00010.96,-0020.00
17.0,00010.93,-0020.00
17.4,00010.91,-0021.00
17.8,00010.92,-0021.00
18.2,00010.91,-0022.00
18.6,00010.95,-0022.00
19.1,00010.95,-0023.00
19.5,00010.93,-0024.00
20.0,00010.90,-0024.00
20.4,00010.94,-0024.00
20.9,00010.98,-0024.00
21.4,00010.95,-0026.00
21.9,00011.01,-0026.00
22.4,00010.98,-0027.00
22.9,00011.01,-0027.00
23.4,00011.05,-0028.00
24.0,00010.99,-0028.00
24.5,00011.02,-0029.00
25.1,00011.05,-0030.00
25.7,00010.98,-0031.00
26.3,00010.99,-0031.00
26.9,00011.02,-0031.00
27.5,00011.00,-0032.00
28.2,00011.04,-0033.00
28.8,00011.02,-0034.00
29.5,00011.16,-0034.00
30.2,00011.25,-0036.00
30.9,00011.23,-0036.00
31.6,00011.25,-0036.00
32.4,00011.40,-0037.00
33.1,00011.45,-0038.00
33.9,00011.53,-0038.00
34.7,00011.55,-0040.00
35.5,00011.62,-0039.00
36.3,00011.69,-0040.00
37.2,00011.78,-0042.00
38.0,00011.92,-0043.00
38.9,00011.90,-0043.00
39.8,00012.05,-0043.00
40.7,00012.21,-0044.00
41.7,00012.36,-0045.00
42.7,00012.56,-0046.00
43.7,00012.83,-0048.00
44.7,00012.94,-0048.00
45.7,00013.15,-0049.00
46.8,00013.43,-0051.00
47.9,00013.73,-0052.00
49.0,00013.99,-0053.00
50.1,00014.53,-0056.00
51.3,00014.90,-0057.00
52.5,00015.30,-0059.00
53.7,00015.75,-0061.00
55.0,00016.25,-0063.00
56.2,00017.32,-0068.00
57.5,00017.89,-0071.00
58.9,00018.56,-0075.00
60.3,00018.11,-0078.00
61.7,00015.17,-0083.00
63.1,00014.48,-0079.00
64.6,00015.29,-0082.00
66.1,00016.85,-0094.00
67.6,00016.90,-0097.00
69.2,00017.60,-0103.00
70.8,00018.09,-0109.00
72.4,00018.78,-0125.00
74.1,00018.42,00156.00
75.9,00015.06,00158.00
77.6,00013.14,00155.00
79.4,00011.59,00151.00
81.3,00010.22,00148.00
83.2,00009.03,00146.00
85.1,00007.76,00144.00
87.1,00006.67,00143.00
89.1,00005.59,00141.00
91.2,00004.70,00140.00
93.3,00003.90,00139.00
95.5,00002.91,00139.00
97.7,00002.24,00138.00
100.0,00001.48,00137.00
102.3,00000.47,00136.00
104.7,00000.17,00136.00
107.2,-0001.17,00135.00
109.6,-0001.68,00134.00
112.2,-0002.49,00133.00
114.8,-0003.19,00132.00
117.5,-0003.96,00133.00
120.2,-0004.66,00133.00
123.0,-0005.45,00130.00
125.9,-0006.19,00131.00
128.8,-0006.44,00129.00
131.8,-0007.26,00130.00
134.9,-0007.99,00132.00
138.0,-0008.91,00131.00
141.3,-0009.65,00131.00
144.5,-0010.37,00131.00
147.9,-0010.67,00132.00
151.4,-0011.72,00127.00
154.9,-0012.20,00130.00
158.5,-0012.74,00129.00
162.2,-0011.30,00129.00
166.0,-0009.14,00100.00
169.8,-0003.56,-0058.00
173.8,-0003.12,-0109.00
177.8,00002.95,00122.00
182.0,-0002.13,00107.00
186.2,-0010.19,00114.00
190.5,-0013.14,00122.00
195.0,-0015.92,00127.00
199.5,-0016.89,00124.00
204.2,-0016.45,00129.00
208.9,-0017.71,00122.00
213.8,-0018.31,00125.00
218.8,-0018.63,00120.00
223.9,-0019.81,00130.00
229.1,-0019.35,00131.00
234.4,-0021.04,00128.00
239.9,-0021.58,00132.00
245.5,-0022.38,00124.00
251.2,-0021.17,00132.00
257.0,-0023.09,00128.00
263.0,-0022.10,00131.00
269.2,-0022.31,00131.00
275.4,-0023.40,00130.00
281.8,-0026.58,00133.00
288.4,-0023.21,00125.00
295.1,-0026.28,00147.00
302.0,-0025.92,00127.00
309.0,-0025.31,00143.00
316.2,-0028.16,00125.00
323.6,-0028.66,00132.00
331.1,-0026.40,00138.00
338.8,-0026.36,00130.00
346.7,-0030.34,00129.00
354.8,-0029.07,00149.00
363.1,-0029.98,00120.00
371.5,-0028.44,00136.00
380.2,-0028.63,00145.00
389.0,-0027.37,00135.00
398.1,-0031.40,00136.00
407.4,-0029.12,00139.00
416.9,-0029.20,00134.00
426.6,-0029.27,00133.00
436.5,-0030.36,00138.00
446.7,-0029.14,00141.00
457.1,-0029.98,00119.00
467.7,-0029.27,00145.00
478.6,-0030.86,00131.00
489.8,-0028.20,00151.00
501.2,-0029.83,00136.00
512.9,-0028.94,00116.00
524.8,-0029.00,00128.00
537.0,-0032.23,00119.00
549.5,-0031.44,00132.00
562.3,-0032.13,00123.00
575.4,-0030.11,00130.00
588.8,-0030.75,00109.00
602.6,-0030.81,00134.00
616.6,-0033.56,00105.00
631.0,-0028.76,00112.00
645.7,-0034.08,00116.00
660.7,-0031.56,00117.00
676.1,-0032.06,00104.00
691.8,-0032.49,00097.00
707.9,-0030.62,00107.00
724.4,-0031.10,00102.00
741.3,-0030.12,00115.00
758.6,-0033.94,00099.00
776.2,-0032.86,00114.00
794.3,-0034.23,00121.00
812.8,-0035.39,00097.00
831.8,-0034.32,00107.00
851.1,-0031.78,00092.00
871.0,-0030.62,00103.00
891.3,-0034.23,00100.00
912.0,-0031.77,00094.00
933.3,-0031.50,00094.00
955.0,-0031.88,00101.00
977.2,-0032.70,00085.00
1000.0,-0032.73,00100.00
1023.3,-0032.84,00096.00
1047.1,-0039.65,00094.00
1071.5,-0032.46,00067.00
1096.5,-0032.76,00084.00
1122.0,-0032.83,00079.00
1148.2,-0031.47,00076.00
1174.9,-0031.60,00077.00
1202.3,-0031.38,00057.00
1230.3,-0033.80,00064.00
1258.9,-0032.81,00062.00
1288.2,-0032.88,00050.00
1318.3,-0035.10,00063.00
1349.0,-0031.62,00061.00
1380.4,-0032.14,00032.00
1412.5,-0033.60,00059.00
1445.4,-0034.13,00060.00
1479.1,-0037.28,00045.00
1513.6,-0033.26,00034.00
1548.8,-0037.24,00045.00
1584.9,-0035.61,00042.00
1621.8,-0034.80,00032.00
1659.6,-0032.93,00037.00
1698.2,-0033.74,00036.00
1737.8,-0030.60,00017.00
1778.3,-0034.23,00044.00
1819.7,-0033.80,00038.00
1862.1,-0035.87,00024.00
1905.5,-0037.97,00041.00
1949.8,-0034.49,00022.00
1995.3,-0036.84,00041.00
2041.7,-0038.24,00036.00
2089.3,-0034.91,00032.00
2138.0,-0035.71,00056.00
2187.8,-0033.63,00036.00
2238.7,-0037.93,00063.00
2290.9,-0039.03,00046.00
2344.2,-0038.01,00068.00
2398.8,-0032.68,00044.00
2454.7,-0036.30,00067.00
2511.9,-0033.38,00049.00
2570.4,-0040.12,00074.00
2630.3,-0034.40,00081.00
2691.5,-0038.05,00062.00
2754.2,-0032.64,00064.00
2818.4,-0035.70,00049.00
2884.0,-0036.19,00070.00
2951.2,-0036.79,00094.00
3020.0,-0039.41,00071.00
3090.3,-0038.72,00100.00
3162.3,-0035.92,00088.00
3235.9,-0038.88,00105.00
3311.3,-0036.37,00120.00
3388.4,-0036.86,00108.00
3467.4,-0037.99,00089.00
3548.1,-0040.53,00101.00
3630.8,-0038.36,00095.00
3715.4,-0040.91,00114.00
3801.9,-0044.07,00104.00
3890.5,-0041.06,00095.00
3981.1,-0039.52,00113.00
4073.8,-0045.62,00097.00
4168.7,-0039.15,00092.00
4265.8,-0040.46,00076.00
4365.2,-0048.16,00098.00
4466.8,-0048.13,00091.00
4570.9,-0040.05,00089.00
4677.4,-0046.14,00116.00
4786.3,-0049.28,00104.00
4897.8,-0050.09,00099.00
5011.9,-0038.66,00098.00
5128.6,-0045.03,00083.00
5248.1,-0046.93,00077.00
5370.3,-0053.91,00104.00
5495.4,-0051.87,00075.00
5623.4,-0038.43,00094.00
5754.4,-0037.01,00084.00
5888.4,-0045.37,00086.00
6025.6,-0047.89,00114.00
6166.0,-0049.68,00085.00
6309.6,-0030.01,00099.00
6456.5,-0033.01,00096.00
6606.9,-0034.94,00091.00
6760.8,-0042.22,00112.00
6918.3,-0090.30,00115.00
7079.5,-0046.61,00092.00
7244.4,-0031.64,00087.00
7413.1,-0034.59,00066.00
7585.8,-0041.89,00095.00
7762.5,-0040.13,00089.00
7943.3,-0042.72,00111.00
8128.3,-0042.22,00099.00
8317.6,-0042.19,00095.00
8511.4,-0038.54,00094.00
8709.6,-0035.91,00089.00
8912.5,-0033.58,00100.00
9120.1,-0037.62,00089.00
9332.5,-0039.05,00080.00
9549.9,-0045.93,00079.00
9772.4,-0050.17,00092.00
10000.0,-0048.54,00092.00

