Freq,Gain,Phase
10.0,00009.28,-0012.00
10.2,00010.68,-0010.00
10.5,00010.88,-0010.00
10.7,00010.92,-0010.00
11.0,00010.96,-0010.00
11.2,00010.93,-0014.00
11.5,00010.96,-0014.00
11.7,00010.92,-0014.00
12.0,00010.95,-0014.00
12.3,00010.93,-0014.00
12.6,00010.91,-0014.00
12.9,00010.94,-0016.00
13.2,00010.91,-0017.00
13.5,00010.93,-0017.00
13.8,00010.92,-0017.00
14.1,00010.93,-0017.00
14.5,00010.95,-0017.00
14.8,00010.91,-0017.00
15.1,00010.89,-0019.00
15.5,00010.92,-0019.00
15.8,00010.93,-0019.00
16.2,00010.97,-0020.00
16.6,00010.96,-0021.00
17.0,00010.89,-0021.00
17.4,00010.90,-0021.00
17.8,00010.92,-0021.00
18.2,00010.92,-0022.00
18.6,00010.99,-0023.00
19.1,00010.83,-0023.00
19.5,00010.79,-0024.00
20.0,00010.82,-0024.00
20.4,00010.87,-0025.00
20.9,00010.84,-0025.00
21.4,00010.88,-0026.00
21.9,00010.87,-0026.00
22.4,00010.90,-0027.00
22.9,00010.89,-0026.00
23.4,00010.89,-0027.00
24.0,00010.90,-0028.00
24.5,00010.97,-0029.00
25.1,00011.00,-0030.00
25.7,00011.08,-0031.00
26.3,00011.05,-0031.00
26.9,00011.07,-0032.00
27.5,00011.13,-0032.00
28.2,00011.22,-0034.00
28.8,00011.23,-0034.00
29.5,00011.38,-0034.00
30.2,00011.43,-0036.00
30.9,00011.47,-0036.00
31.6,00011.44,-0037.00
32.4,00011.50,-0037.00
33.1,00011.52,-0038.00
33.9,00011.55,-0038.00
34.7,00011.65,-0039.00
35.5,00011.75,-0040.00
36.3,00011.92,-0041.00
37.2,00011.95,-0041.00
38.0,00012.12,-0043.00
38.9,00012.11,-0043.00
39.8,00012.22,-0043.00
40.7,00012.27,-0044.00
41.7,00012.42,-0045.00
42.7,00012.61,-0046.00
43.7,00012.78,-0047.00
44.7,00012.99,-0048.00
45.7,00013.10,-0049.00
46.8,00013.33,-0050.00
47.9,00013.47,-0051.00
49.0,00013.86,-0052.00
50.1,00014.50,-0055.00
51.3,00014.91,-0057.00
52.5,00015.43,-0058.00
53.7,00015.87,-0060.00
55.0,00016.37,-0062.00
56.2,00017.45,-0067.00
57.5,00018.17,-0070.00
58.9,00018.77,-0073.00
60.3,00020.12,-0082.00
61.7,00021.02,-0089.00
63.1,00022.91,-0105.00
64.6,00022.81,-0116.00
66.1,00022.96,-0138.00
67.6,00022.55,-0152.00
69.2,00021.01,-0170.00
70.8,00019.72,00178.00
72.4,00017.81,00170.00
74.1,00015.84,00161.00
75.9,00014.61,00157.00
77.6,00012.95,00153.00
79.4,00011.42,00149.00
81.3,00009.99,00147.00
83.2,00008.74,00145.00
85.1,00007.58,00144.00
87.1,00006.52,00143.00
89.1,00005.65,00141.00
91.2,00004.74,00140.00
93.3,00003.84,00139.00
95.5,00003.10,00138.00
97.7,00002.13,00137.00
100.0,00001.53,00136.00
102.3,00000.55,00135.00
104.7,00000.17,00135.00
107.2,00000.83,00135.00
109.6,-0001.49,00135.00
112.2,-0002.15,00132.00
114.8,-0002.83,00132.00
117.5,-0003.47,00133.00
120.2,-0004.51,00133.00
123.0,-0004.94,00130.00
125.9,-0004.95,00129.00
128.8,-0006.02,00131.00
131.8,-0006.69,00130.00
134.9,-0007.81,00128.00
138.0,-0008.11,00130.00
141.3,-0009.05,00131.00
144.5,-0009.00,00126.00
147.9,-0010.31,00133.00
151.4,-0011.63,00131.00
154.9,-0011.32,00125.00
158.5,-0010.85,00133.00
162.2,-0010.55,00122.00
166.0,-0008.09,00099.00
169.8,-0002.34,-0055.00
173.8,-0002.56,-0112.00
177.8,00003.64,00123.00
182.0,-0001.05,00106.00
186.2,-0009.27,00112.00
190.5,-0011.82,00122.00
195.0,-0014.47,00127.00
199.5,-0015.83,00112.00
204.2,-0016.69,00127.00
208.9,-0016.42,00123.00
213.8,-0015.46,00117.00
218.8,-0018.65,00120.00
223.9,-0018.99,00119.00
229.1,-0019.45,00114.00
234.4,-0021.71,00108.00
239.9,-0019.98,00131.00
245.5,-0020.52,00129.00
251.2,-0020.78,00114.00
257.0,-0020.04,00130.00
263.0,-0024.71,00116.00
269.2,-0024.65,00131.00
275.4,-0022.04,00117.00
281.8,-0023.20,00112.00
288.4,-0025.28,00118.00
295.1,-0021.22,00115.00
302.0,-0027.94,00130.00
309.0,-0027.07,00102.00
316.2,-0024.64,00125.00
323.6,-0025.46,00129.00
331.1,-0026.90,00141.00
338.8,-0027.55,00140.00
346.7,-0025.80,00143.00
354.8,-0025.99,00128.00
363.1,-0023.91,00129.00
371.5,-0028.50,00121.00
380.2,-0028.37,00134.00
389.0,-0028.04,00106.00
398.1,-0028.67,00108.00
407.4,-0029.91,00129.00
416.9,-0026.42,00076.00
426.6,-0026.60,-0141.00
436.5,-0029.30,-0148.00
446.7,-0031.03,-0132.00
457.1,-0028.32,-0109.00
467.7,-0028.81,-0113.00
478.6,-0026.49,-0123.00
489.8,-0027.97,00133.00
501.2,-0026.70,00125.00
512.9,-0032.41,00144.00
524.8,-0024.91,00139.00
537.0,-0025.93,00125.00
549.5,-0033.06,00115.00
562.3,-0031.52,00096.00
575.4,-0027.63,00125.00
