Freq,Gain,Phase
10.0,00009.37,-0012.00
10.2,00010.74,-0012.00
10.5,00010.95,-0012.00
10.7,00010.96,-0012.00
11.0,00010.99,-0012.00
11.2,00010.99,-0014.00
11.5,00010.99,-0012.00
11.7,00010.98,-0014.00
12.0,00010.98,-0014.00
12.3,00010.99,-0014.00
12.6,00010.97,-0014.00
12.9,00010.98,-0014.00
13.2,00010.98,-0016.00
13.5,00011.02,-0017.00
13.8,00010.98,-0017.00
14.1,00010.98,-0017.00
14.5,00011.02,-0017.00
14.8,00011.00,-0017.00
15.1,00011.02,-0019.00
15.5,00011.01,-0019.00
15.8,00011.00,-0019.00
16.2,00010.97,-0019.00
16.6,00010.99,-0019.00
17.0,00010.96,-0019.00
17.4,00010.95,-0021.00
17.8,00010.98,-0021.00
18.2,00010.97,-0022.00
18.6,00010.97,-0022.00
19.1,00010.97,-0023.00
19.5,00010.97,-0023.00
20.0,00010.94,-0024.00
20.4,00010.94,-0024.00
20.9,00010.93,-0024.00
21.4,00010.93,-0026.00
21.9,00010.91,-0026.00
22.4,00010.95,-0027.00
22.9,00010.99,-0027.00
23.4,00010.91,-0028.00
24.0,00010.90,-0028.00
24.5,00010.94,-0029.00
25.1,00010.91,-0030.00
25.7,00010.91,-0030.00
26.3,00010.95,-0031.00
26.9,00010.94,-0031.00
27.5,00010.98,-0032.00
28.2,00011.06,-0033.00
28.8,00011.07,-0034.00
29.5,00011.19,-0034.00
30.2,00011.20,-0035.00
30.9,00011.28,-0035.00
31.6,00011.30,-0036.00
32.4,00011.35,-0037.00
33.1,00011.43,-0038.00
33.9,00011.48,-0038.00
34.7,00011.59,-0038.00
35.5,00011.69,-0040.00
36.3,00011.75,-0041.00
37.2,00011.82,-0042.00
38.0,00011.93,-0043.00
38.9,00011.98,-0043.00
39.8,00012.01,-0044.00
40.7,00012.14,-0045.00
41.7,00012.22,-0045.00
42.7,00012.41,-0045.00
43.7,00012.63,-0047.00
44.7,00012.93,-0049.00
45.7,00013.21,-0050.00
46.8,00013.44,-0051.00
47.9,00013.69,-0051.00
49.0,00013.99,-0054.00
50.1,00014.66,-0055.00
51.3,00015.10,-0057.00
52.5,00015.43,-0058.00
53.7,00015.89,-0060.00
55.0,00016.43,-0062.00
56.2,00017.30,-0065.00
57.5,00017.94,-0070.00
58.9,00018.66,-0075.00
60.3,00019.79,-0083.00
61.7,00020.69,-0090.00
63.1,00020.10,-0094.00
64.6,00020.10,-0099.00
66.1,00020.00,-0110.00
67.6,00020.77,-0114.00
69.2,00021.15,-0128.00
70.8,00020.11,00156.00
72.4,00017.75,00166.00
74.1,00015.70,00161.00
75.9,00014.60,00158.00
77.6,00013.04,00154.00
79.4,00011.56,00151.00
81.3,00010.21,00148.00
83.2,00008.92,00144.00
85.1,00007.82,00144.00
87.1,00006.84,00142.00
89.1,00005.71,00141.00
91.2,00004.74,00140.00
93.3,00003.79,00139.00
95.5,00003.03,00139.00
97.7,00002.09,00138.00
100.0,00001.29,00137.00
102.3,00000.38,00135.00
104.7,00000.37,00135.00
107.2,-0001.27,00135.00
109.6,-0001.94,00134.00
112.2,-0002.76,00133.00
114.8,-0003.42,00133.00
117.5,-0004.02,00133.00
120.2,-0004.94,00133.00
123.0,-0005.80,00131.00
125.9,-0006.20,00130.00
128.8,-0006.81,00131.00
131.8,-0007.62,00128.00
134.9,-0008.21,00127.00
138.0,-0009.05,00129.00
141.3,-0009.40,00131.00
144.5,-0010.20,00129.00
147.9,-0010.63,00126.00
151.4,-0011.44,00128.00
154.9,-0012.00,00129.00
158.5,-0012.56,00125.00
162.2,-0010.65,00125.00
166.0,-0008.91,00099.00
169.8,-0003.35,-0055.00
173.8,-0002.72,-0109.00
177.8,00003.10,00122.00
182.0,-0001.34,00109.00
186.2,-0009.86,00115.00
190.5,-0012.67,00122.00
195.0,-0015.16,00127.00
199.5,-0016.30,00126.00
204.2,-0016.45,00127.00
208.9,-0017.92,00126.00
213.8,-0017.60,00128.00
218.8,-0020.66,00122.00
223.9,-0019.29,00122.00
229.1,-0019.45,00131.00
234.4,-0021.54,00130.00
239.9,-0020.69,00133.00
245.5,-0021.44,00126.00
251.2,-0021.23,00141.00
257.0,-0022.66,00127.00
263.0,-0023.95,00128.00
269.2,-0021.88,00124.00
275.4,-0023.59,00137.00
281.8,-0025.22,00128.00
288.4,-0024.08,00135.00
295.1,-0028.16,00137.00
302.0,-0027.26,00143.00
309.0,-0027.91,00141.00
316.2,-0026.02,00135.00
323.6,-0028.30,00128.00
331.1,-0027.25,00131.00
338.8,-0029.36,00126.00
346.7,-0026.62,00141.00
354.8,-0027.75,00130.00
363.1,-0024.27,00147.00
371.5,-0029.20,00137.00
380.2,-0029.77,00126.00
389.0,-0029.22,00149.00
398.1,-0027.94,00153.00
407.4,-0027.20,00148.00
416.9,-0027.18,00119.00
426.6,-0031.04,00112.00
436.5,-0029.94,00124.00
446.7,-0030.86,00137.00
457.1,-0030.45,00124.00
467.7,-0028.37,00149.00
478.6,-0027.11,00123.00
489.8,-0026.98,00140.00
501.2,-0030.65,00124.00
512.9,-0028.79,00129.00
524.8,-0032.88,00123.00
537.0,-0032.92,00135.00
549.5,-0032.62,00120.00
562.3,-0031.31,00111.00
575.4,-0030.09,00109.00
588.8,-0028.93,00126.00
602.6,-0030.37,00141.00
616.6,-0031.62,00136.00
631.0,-0028.56,00128.00
645.7,-0030.00,00132.00
660.7,-0034.66,00116.00
676.1,-0030.51,00125.00
691.8,-0030.13,00096.00
707.9,-0033.77,00118.00
724.4,-0036.20,00091.00
741.3,-0031.31,00119.00
758.6,-0030.22,00130.00
776.2,-0031.63,00102.00
794.3,-0030.54,00108.00
812.8,-0031.47,00122.00
831.8,-0029.39,00114.00
851.1,-0029.34,00099.00
871.0,-0032.22,00073.00
891.3,-0036.51,00093.00
912.0,-0029.29,00081.00
933.3,-0029.41,00104.00
955.0,-0034.45,00102.00
977.2,-0035.74,00087.00
1000.0,-0031.45,00078.00
1023.3,-0031.23,00083.00
1047.1,-0033.79,00101.00
1071.5,-0036.08,00084.00
1096.5,-0032.81,00068.00
1122.0,-0032.81,00090.00
1148.2,-0032.77,00080.00
1174.9,-0030.96,00076.00
1202.3,-0032.98,00081.00
1230.3,-0030.65,00061.00
1258.9,-0034.17,00050.00
1288.2,-0031.66,00075.00
1318.3,-0027.48,00081.00
1349.0,-0030.46,00084.00
1380.4,-0033.58,00057.00
1412.5,-0032.83,00060.00
1445.4,-0029.15,00060.00
1479.1,-0030.19,00052.00
1513.6,-0030.46,00063.00
1548.8,-0033.04,00041.00
1584.9,-0035.08,00052.00
1621.8,-0031.88,00049.00
1659.6,-0030.72,00036.00
1698.2,-0031.65,00060.00
1737.8,-0031.30,00056.00
1778.3,-0032.54,00047.00
1819.7,-0031.38,00064.00
1862.1,-0034.08,00059.00
1905.5,-0031.35,00048.00
1949.8,-0032.52,00047.00
1995.3,-0032.12,00047.00
2041.7,-0032.74,00043.00
2089.3,-0031.10,00062.00
2138.0,-0033.51,00074.00
2187.8,-0030.89,00083.00
2238.7,-0033.30,00063.00
2290.9,-0031.00,00052.00
2344.2,-0035.40,00067.00
2398.8,-0035.09,00054.00
2454.7,-0031.60,00055.00
2511.9,-0032.73,00069.00
2570.4,-0032.67,00086.00
2630.3,-0037.29,00088.00
2691.5,-0033.95,00068.00
2754.2,-0036.52,00063.00
2818.4,-0038.33,00063.00
2884.0,-0034.51,00050.00
2951.2,-0034.52,00068.00
3020.0,-0033.81,00095.00
3090.3,-0032.90,00120.00
3162.3,-0035.85,00091.00
3235.9,-0035.60,00065.00
3311.3,-0034.46,00077.00
3388.4,-0037.00,00082.00
3467.4,-0034.88,00105.00
3548.1,-0038.08,00100.00
3630.8,-0036.51,00115.00
3715.4,-0036.62,00123.00
3801.9,-0032.65,00134.00
3890.5,-0036.24,00119.00
